Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.4.2 < 6 months,8,882,"Risk Ratio (IV, Random, 95% CI)","1.86 [0.80, 4.33]",Dose reduction versus dose maintenance,1,1.86,0.8,4.33,1,4,,< 6 months
1.4.3 < 1 year,5,699,"Risk Ratio (IV, Random, 95% CI)","2.38 [1.39, 4.09]",Dose reduction versus dose maintenance,1,2.38,1.39,4.09,1,4,,< 1 year
1.4.4 > 1 year,1,131,"Risk Ratio (IV, Random, 95% CI)",Not estimable,Dose reduction versus dose maintenance,1,,,,1,4,,> 1 year
1.5 Quality of life ‐ mean change score EQ‐5D Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,5,,Quality of life ‐ mean change score EQ‐5D Show forest plot
1.5.1 < 1 year,1,61,"Mean Difference (IV, Random, 95% CI)","0.01 [‐0.06, 0.09]",Dose reduction versus dose maintenance,1,0.01,-0.06,0.09,1,5,,< 1 year
1.6 Quality of life ‐ mean change score S‐QoL Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,6,,Quality of life ‐ mean change score S‐QoL Show forest plot
1.6.1 < 6 months,1,97,"Mean Difference (IV, Fixed, 95% CI)","‐2.60 [‐9.15, 3.95]",Dose reduction versus dose maintenance,1,-2.6,-9.15,3.95,1,6,,< 6 months
1.7 Quality of life ‐ mean endpoint WHOQOL‐BREF Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,7,,Quality of life ‐ mean endpoint WHOQOL‐BREF Show forest plot
1.7.1 < 1 year,1,128,"Mean Difference (IV, Fixed, 95% CI)","‐0.20 [‐4.62, 4.22]",Dose reduction versus dose maintenance,1,-0.2,-4.62,4.22,1,7,,< 1 year
1.7.2 > 1 year,1,128,"Mean Difference (IV, Fixed, 95% CI)","0.90 [‐3.59, 5.39]",Dose reduction versus dose maintenance,1,0.9,-3.59,5.39,1,7,,> 1 year
1.8 Quality of life ‐ mean endpoint QLS (Heinrich) Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,8,,Quality of life ‐ mean endpoint QLS (Heinrich) Show forest plot
1.8.1 < 1 year,1,50,"Mean Difference (IV, Fixed, 95% CI)","2.68 [‐8.42, 13.78]",Dose reduction versus dose maintenance,1,2.68,-8.42,13.78,1,8,,< 1 year
1.9 Quality of life ‐ mean change QLS total (Heinrich) Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,9,,Quality of life ‐ mean change QLS total (Heinrich) Show forest plot
1.9.1 < 6 months,1,364,"Mean Difference (IV, Random, 95% CI)","0.30 [‐2.95, 3.55]",Dose reduction versus dose maintenance,1,0.3,-2.95,3.55,1,9,,< 6 months
1.10 Quality of life ‐ mean endpoint SWNS Show forest plot,1,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,10,,Quality of life ‐ mean endpoint SWNS Show forest plot
1.10.1 < 3 months,1,19,"Mean Difference (IV, Fixed, 95% CI)","‐6.03 [‐14.71, 2.65]",Dose reduction versus dose maintenance,1,-6.03,-14.71,2.65,1,10,,< 3 months
1.10.2 < 6 months,1,19,"Mean Difference (IV, Fixed, 95% CI)","0.44 [‐8.19, 9.07]",Dose reduction versus dose maintenance,1,0.44,-8.19,9.07,1,10,,< 6 months
1.11 Quality of life ‐ mean change SWNS Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,11,,Quality of life ‐ mean change SWNS Show forest plot
1.11.1 < 3 months,1,16,"Mean Difference (IV, Random, 95% CI)","‐3.12 [‐12.69, 6.44]",Dose reduction versus dose maintenance,1,-3.12,-12.69,6.44,1,11,,< 3 months
1.11.2 < 6 months,1,16,"Mean Difference (IV, Random, 95% CI)","2.25 [‐11.43, 15.93]",Dose reduction versus dose maintenance,1,2.25,-11.43,15.93,1,11,,< 6 months
1.11.3 < 1 year,1,61,"Mean Difference (IV, Random, 95% CI)","‐0.10 [‐4.58, 4.38]",Dose reduction versus dose maintenance,1,-0.1,-4.58,4.38,1,11,,< 1 year
1.12 Quality of life ‐ mean change/endpoint SWNS Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,12,,Quality of life ‐ mean change/endpoint SWNS Show forest plot
1.12.1 < 3 months,1,19,"Mean Difference (IV, Random, 95% CI)","‐6.03 [‐14.71, 2.65]",Dose reduction versus dose maintenance,1,-6.03,-14.71,2.65,1,12,,< 3 months
1.12.2 < 6 months,1,19,"Mean Difference (IV, Random, 95% CI)","0.44 [‐8.19, 9.07]",Dose reduction versus dose maintenance,1,0.44,-8.19,9.07,1,12,,< 6 months
1.12.3 < 1 year,1,61,"Mean Difference (IV, Random, 95% CI)","‐0.10 [‐4.58, 4.38]",Dose reduction versus dose maintenance,1,-0.1,-4.58,4.38,1,12,,< 1 year
1.13 Quality of life ‐ mean change/endpoint all available scales (combined time points) Show forest plot,6,719,"Std. Mean Difference (IV, Random, 95% CI)","‐0.01 [‐0.17, 0.15]",Dose reduction versus dose maintenance,1,-0.01,-0.17,0.15,1,13,,Quality of life ‐ mean change/endpoint all available scales (combined time points) Show forest plot
1.13.1 Quality of life ‐ combined scales and time points,6,719,"Std. Mean Difference (IV, Random, 95% CI)","‐0.01 [‐0.17, 0.15]",Dose reduction versus dose maintenance,1,-0.01,-0.17,0.15,1,13,,Quality of life ‐ combined scales and time points
1.14 Quality of life ‐ mean change/endpoint all available scales (separated time points) Show forest plot,6,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,14,,Quality of life ‐ mean change/endpoint all available scales (separated time points) Show forest plot
1.14.1 Quality of life ‐ combined scales (< 3 months),1,19,"Std. Mean Difference (IV, Random, 95% CI)","‐0.59 [‐1.52, 0.35]",Dose reduction versus dose maintenance,1,-0.59,-1.52,0.35,1,14,,Quality of life ‐ combined scales (< 3 months)
1.14.2 Quality of life ‐ combined scales (< 6 months),3,480,"Std. Mean Difference (IV, Random, 95% CI)","‐0.02 [‐0.23, 0.18]",Dose reduction versus dose maintenance,1,-0.02,-0.23,0.18,1,14,,Quality of life ‐ combined scales (< 6 months)
1.14.3 Quality of life ‐ combined scales (< 1 year),3,239,"Std. Mean Difference (IV, Random, 95% CI)","0.02 [‐0.24, 0.27]",Dose reduction versus dose maintenance,1,0.02,-0.24,0.27,1,14,,Quality of life ‐ combined scales (< 1 year)
1.14.4 Quality of life ‐ combined scales (> 1 year),1,128,"Std. Mean Difference (IV, Random, 95% CI)","0.07 [‐0.28, 0.42]",Dose reduction versus dose maintenance,1,0.07,-0.28,0.42,1,14,,Quality of life ‐ combined scales (> 1 year)
1.15 Functioning ‐ mean endpoint GSDS Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,15,,Functioning ‐ mean endpoint GSDS Show forest plot
1.15.1 < 1 year,1,128,"Mean Difference (IV, Random, 95% CI)","0.10 [‐1.32, 1.52]",Dose reduction versus dose maintenance,1,0.1,-1.32,1.52,1,15,,< 1 year
1.15.2 > 1 year,1,128,"Mean Difference (IV, Random, 95% CI)","‐0.60 [‐2.11, 0.91]",Dose reduction versus dose maintenance,1,-0.6,-2.11,0.91,1,15,,> 1 year
1.16 Functioning ‐ mean endpoint GAF Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,16,,Functioning ‐ mean endpoint GAF Show forest plot
1.16.1 < 1 year,1,35,"Mean Difference (IV, Random, 95% CI)","1.70 [‐6.13, 9.53]",Dose reduction versus dose maintenance,1,1.7,-6.13,9.53,1,16,,< 1 year
1.17 Functioning ‐ mean change GAF Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,17,,Functioning ‐ mean change GAF Show forest plot
1.17.1 < 1 year,1,35,"Mean Difference (IV, Random, 95% CI)","‐1.10 [‐2.51, 0.31]",Dose reduction versus dose maintenance,1,-1.1,-2.51,0.31,1,17,,< 1 year
1.18 Functioning ‐ mean change PSP Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,18,,Functioning ‐ mean change PSP Show forest plot
1.18.1 < 3 months,1,20,"Mean Difference (IV, Random, 95% CI)","4.49 [‐3.27, 12.25]",Dose reduction versus dose maintenance,1,4.49,-3.27,12.25,1,18,,< 3 months
1.18.2 < 6 months,1,20,"Mean Difference (IV, Random, 95% CI)","10.38 [‐0.52, 21.28]",Dose reduction versus dose maintenance,1,10.38,-0.52,21.28,1,18,,< 6 months
1.18.3 < 1 year,1,364,"Mean Difference (IV, Random, 95% CI)","2.47 [‐0.04, 4.98]",Dose reduction versus dose maintenance,1,2.47,-0.04,4.98,1,18,,< 1 year
1.19 Functioning ‐ mean endpoint PSP Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,19,,Functioning ‐ mean endpoint PSP Show forest plot
1.19.1 < 3 months,1,20,"Mean Difference (IV, Random, 95% CI)","‐3.03 [‐12.73, 6.67]",Dose reduction versus dose maintenance,1,-3.03,-12.73,6.67,1,19,,< 3 months
1.19.2 < 6 months,1,20,"Mean Difference (IV, Random, 95% CI)","2.85 [‐6.53, 12.23]",Dose reduction versus dose maintenance,1,2.85,-6.53,12.23,1,19,,< 6 months
1.19.3 < 1 year,1,364,"Mean Difference (IV, Random, 95% CI)","2.20 [‐1.23, 5.63]",Dose reduction versus dose maintenance,1,2.2,-1.23,5.63,1,19,,< 1 year
1.20 Functioning ‐ mean endpoint SCLoF Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,20,,Functioning ‐ mean endpoint SCLoF Show forest plot
1.20.1 < 6 months,1,50,"Mean Difference (IV, Random, 95% CI)","‐0.18 [‐4.06, 3.70]",Dose reduction versus dose maintenance,1,-0.18,-4.06,3.7,1,20,,< 6 months
1.20.2 < 12 months,1,50,"Mean Difference (IV, Random, 95% CI)","‐2.35 [‐6.23, 1.53]",Dose reduction versus dose maintenance,1,-2.35,-6.23,1.53,1,20,,< 12 months
1.21 Functioning ‐ mean change SF‐36 mental component summary Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,21,,Functioning ‐ mean change SF‐36 mental component summary Show forest plot
1.21.1 < 6 months,1,369,"Mean Difference (IV, Random, 95% CI)","‐0.61 [‐3.07, 1.85]",Dose reduction versus dose maintenance,1,-0.61,-3.07,1.85,1,21,,< 6 months
1.22 Functioning ‐ mean endpoint/change all available scales (combined time points) Show forest plot,6,966,"Std. Mean Difference (IV, Random, 95% CI)","0.03 [‐0.10, 0.17]",Dose reduction versus dose maintenance,1,0.03,-0.1,0.17,1,22,,Functioning ‐ mean endpoint/change all available scales (combined time points) Show forest plot
1.22.1 Functioning ‐ combined scales and time points,6,966,"Std. Mean Difference (IV, Random, 95% CI)","0.03 [‐0.10, 0.17]",Dose reduction versus dose maintenance,1,0.03,-0.1,0.17,1,22,,Functioning ‐ combined scales and time points
1.23 Functioning ‐ mean endpoint/change all available scales (separated time points) Show forest plot,6,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,23,,Functioning ‐ mean endpoint/change all available scales (separated time points) Show forest plot
1.23.1 Functioning ‐ combined scales (< 3 months),1,20,"Std. Mean Difference (IV, Random, 95% CI)","‐0.25 [‐1.14, 0.63]",Dose reduction versus dose maintenance,1,-0.25,-1.14,0.63,1,23,,Functioning ‐ combined scales (< 3 months)
1.23.2 Functioning ‐ combined scales (< 6 months),3,439,"Std. Mean Difference (IV, Random, 95% CI)","‐0.04 [‐0.25, 0.17]",Dose reduction versus dose maintenance,1,-0.04,-0.25,0.17,1,23,,Functioning ‐ combined scales (< 6 months)
1.23.3 Functioning ‐ combined scales (< 1 year),4,577,"Std. Mean Difference (IV, Random, 95% CI)","0.08 [‐0.09, 0.25]",Dose reduction versus dose maintenance,1,0.08,-0.09,0.25,1,23,,Functioning ‐ combined scales (< 1 year)
1.23.4 Functioning ‐ combined scales (> 1 year),1,128,"Std. Mean Difference (IV, Random, 95% CI)","‐0.14 [‐0.48, 0.21]",Dose reduction versus dose maintenance,1,-0.14,-0.48,0.21,1,23,,Functioning ‐ combined scales (> 1 year)
1.24 Global state ‐ number of participants with relapse/exacerbations of psychosis (combined time points) Show forest plot,20,2481,"Risk Ratio (IV, Random, 95% CI)","2.16 [1.52, 3.06]",Dose reduction versus dose maintenance,1,2.16,1.52,3.06,1,24,,Global state ‐ number of participants with relapse/exacerbations of psychosis (combined time points) Show forest plot
1.25 Global state ‐ number of participants with relapse/exacerbations of psychosis (separated time points) Show forest plot,20,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,25,,Global state ‐ number of participants with relapse/exacerbations of psychosis (separated time points) Show forest plot
1.25.1 < 3 months,12,1947,"Risk Ratio (IV, Random, 95% CI)","2.56 [1.37, 4.78]",Dose reduction versus dose maintenance,1,2.56,1.37,4.78,1,25,,< 3 months
1.25.2 < 6 months,15,2224,"Risk Ratio (IV, Random, 95% CI)","2.37 [1.54, 3.67]",Dose reduction versus dose maintenance,1,2.37,1.54,3.67,1,25,,< 6 months
1.25.3 < 1 year,13,1608,"Risk Ratio (IV, Random, 95% CI)","2.31 [1.63, 3.27]",Dose reduction versus dose maintenance,1,2.31,1.63,3.27,1,25,,< 1 year
1.25.4 > 1 year,4,474,"Risk Ratio (IV, Random, 95% CI)","1.68 [1.29, 2.20]",Dose reduction versus dose maintenance,1,1.68,1.29,2.2,1,25,,> 1 year
1.26 Global state ‐ remission Show forest plot,1,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,26,,Global state ‐ remission Show forest plot
1.26.1 < 1 year,1,397,"Risk Ratio (IV, Random, 95% CI)","0.82 [0.61, 1.09]",Dose reduction versus dose maintenance,1,0.82,0.61,1.09,1,26,,< 1 year
1.27 Global state ‐ number of participants with clinically important change in global state Show forest plot,1,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,27,,Global state ‐ number of participants with clinically important change in global state Show forest plot
1.27.1 < 3 months,1,20,"Risk Ratio (IV, Random, 95% CI)","4.17 [0.23, 77.11]",Dose reduction versus dose maintenance,1,4.17,0.23,77.11,1,27,,< 3 months
1.27.2 < 6 months,1,20,"Risk Ratio (IV, Random, 95% CI)","4.17 [0.23, 77.11]",Dose reduction versus dose maintenance,1,4.17,0.23,77.11,1,27,,< 6 months
1.28 Global state ‐ mean endpoint CGI‐S (high = poor) Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,28,,Global state ‐ mean endpoint CGI‐S (high = poor) Show forest plot
1.28.1 < 3 months,2,46,"Mean Difference (IV, Random, 95% CI)","‐0.39 [‐0.86, 0.07]",Dose reduction versus dose maintenance,1,-0.39,-0.86,0.07,1,28,,< 3 months
1.28.2 < 6 months,2,46,"Mean Difference (IV, Random, 95% CI)","‐0.35 [‐0.84, 0.14]",Dose reduction versus dose maintenance,1,-0.35,-0.84,0.14,1,28,,< 6 months
1.29 Global state ‐ mean change CGI‐S (high = poor) Show forest plot,5,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,29,,Global state ‐ mean change CGI‐S (high = poor) Show forest plot
1.29.1 < 3 months,2,485,"Mean Difference (IV, Random, 95% CI)","0.10 [‐0.33, 0.53]",Dose reduction versus dose maintenance,1,0.1,-0.33,0.53,1,29,,< 3 months
1.29.2 < 6 months,2,485,"Mean Difference (IV, Random, 95% CI)","0.20 [‐0.34, 0.74]",Dose reduction versus dose maintenance,1,0.2,-0.34,0.74,1,29,,< 6 months
1.29.3 < 1 year,3,488,"Mean Difference (IV, Random, 95% CI)","0.03 [‐0.21, 0.27]",Dose reduction versus dose maintenance,1,0.03,-0.21,0.27,1,29,,< 1 year
1.30 Global state ‐ mean endpoint/change CGI‐S (high = poor) (combined time points) Show forest plot,6,999,"Mean Difference (IV, Random, 95% CI)","0.05 [‐0.18, 0.28]",Dose reduction versus dose maintenance,1,0.05,-0.18,0.28,1,30,,Global state ‐ mean endpoint/change CGI‐S (high = poor) (combined time points) Show forest plot
1.31 Global state ‐ mean endpoint/change CGI‐S (high = poor) (separated time points) Show forest plot,6,,"Std. Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,31,,Global state ‐ mean endpoint/change CGI‐S (high = poor) (separated time points) Show forest plot
1.31.1 < 3 months,3,511,"Std. Mean Difference (IV, Random, 95% CI)","‐0.11 [‐0.75, 0.52]",Dose reduction versus dose maintenance,1,-0.11,-0.75,0.52,1,31,,< 3 months
1.31.2 < 6 months,3,511,"Std. Mean Difference (IV, Random, 95% CI)","‐0.02 [‐0.71, 0.66]",Dose reduction versus dose maintenance,1,-0.02,-0.71,0.66,1,31,,< 6 months
1.31.3 < 1 year,3,488,"Std. Mean Difference (IV, Random, 95% CI)","0.04 [‐0.30, 0.37]",Dose reduction versus dose maintenance,1,0.04,-0.3,0.37,1,31,,< 1 year
1.32 Global state ‐ mean endpoint CGI‐I (high = poor) (combined time points) Show forest plot,3,881,"Mean Difference (IV, Random, 95% CI)","0.19 [‐0.47, 0.85]",Dose reduction versus dose maintenance,1,0.19,-0.47,0.85,1,32,,Global state ‐ mean endpoint CGI‐I (high = poor) (combined time points) Show forest plot
1.33 Global state ‐ mean endpoint CGI‐I (high = poor) (separated time points) Show forest plot,3,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,33,,Global state ‐ mean endpoint CGI‐I (high = poor) (separated time points) Show forest plot
1.33.1 < 3 months,2,484,"Mean Difference (IV, Random, 95% CI)","0.07 [‐1.07, 1.20]",Dose reduction versus dose maintenance,1,0.07,-1.07,1.2,1,33,,< 3 months
1.33.2 < 6 months,2,484,"Mean Difference (IV, Random, 95% CI)","‐0.04 [‐1.75, 1.68]",Dose reduction versus dose maintenance,1,-0.04,-1.75,1.68,1,33,,< 6 months
1.33.3 < 1 year,1,397,"Mean Difference (IV, Random, 95% CI)","0.36 [0.09, 0.63]",Dose reduction versus dose maintenance,1,0.36,0.09,0.63,1,33,,< 1 year
1.34 Global state ‐ mean change IAQ‐12 (high = poor) Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,34,,Global state ‐ mean change IAQ‐12 (high = poor) Show forest plot
1.34.1 < 1 year,1,397,"Mean Difference (IV, Random, 95% CI)","1.69 [0.47, 2.91]",Dose reduction versus dose maintenance,1,1.69,0.47,2.91,1,34,,< 1 year
1.35 Global state ‐ mean endpoint SCL‐90 (high = poor) Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,35,,Global state ‐ mean endpoint SCL‐90 (high = poor) Show forest plot
1.35.1 < 3 months,1,39,"Mean Difference (IV, Random, 95% CI)","‐0.38 [‐0.61, ‐0.15]",Dose reduction versus dose maintenance,1,-0.38,-0.61,-0.15,1,35,,< 3 months
1.35.2 < 6 months,1,39,"Mean Difference (IV, Random, 95% CI)","‐0.52 [‐0.80, ‐0.24]",Dose reduction versus dose maintenance,1,-0.52,-0.8,-0.24,1,35,,< 6 months
1.35.3 < 1 year,1,39,"Mean Difference (IV, Random, 95% CI)","‐0.59 [‐0.91, ‐0.27]",Dose reduction versus dose maintenance,1,-0.59,-0.91,-0.27,1,35,,< 1 year
1.36 Leaving the study early ‐ for any reason ‐ overall acceptability (combined time points) Show forest plot,12,1551,"Risk Ratio (IV, Random, 95% CI)","1.38 [1.05, 1.81]",Dose reduction versus dose maintenance,1,1.38,1.05,1.81,1,36,,Leaving the study early ‐ for any reason ‐ overall acceptability (combined time points) Show forest plot
1.36.1 Combined time points,12,1551,"Risk Ratio (IV, Random, 95% CI)","1.38 [1.05, 1.81]",Dose reduction versus dose maintenance,1,1.38,1.05,1.81,1,36,,Combined time points
1.37 Leaving the study early ‐ for any reason ‐ overall acceptability (separated time points) Show forest plot,12,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,37,,Leaving the study early ‐ for any reason ‐ overall acceptability (separated time points) Show forest plot
1.37.1 < 3 months,6,1067,"Risk Ratio (IV, Random, 95% CI)","1.53 [1.01, 2.31]",Dose reduction versus dose maintenance,1,1.53,1.01,2.31,1,37,,< 3 months
1.37.2 < 6 months,6,767,"Risk Ratio (IV, Random, 95% CI)","1.76 [1.27, 2.44]",Dose reduction versus dose maintenance,1,1.76,1.27,2.44,1,37,,< 6 months
1.37.3 < 1 year,7,814,"Risk Ratio (IV, Random, 95% CI)","1.47 [1.23, 1.76]",Dose reduction versus dose maintenance,1,1.47,1.23,1.76,1,37,,< 1 year
1.37.4 > 1 year,2,201,"Risk Ratio (IV, Random, 95% CI)","1.68 [0.19, 14.76]",Dose reduction versus dose maintenance,1,1.68,0.19,14.76,1,37,,> 1 year
1.38 Leaving the study early ‐ due to inefficacy ‐ overall efficacy (combined time points) Show forest plot,10,1322,"Risk Ratio (IV, Random, 95% CI)","2.06 [1.21, 3.50]",Dose reduction versus dose maintenance,1,2.06,1.21,3.5,1,38,,Leaving the study early ‐ due to inefficacy ‐ overall efficacy (combined time points) Show forest plot
1.39 Leaving the study early ‐ due to inefficacy ‐ overall efficacy (separated time points) Show forest plot,10,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,39,,Leaving the study early ‐ due to inefficacy ‐ overall efficacy (separated time points) Show forest plot
1.39.1 < 3 months,5,288,"Risk Ratio (IV, Random, 95% CI)","0.94 [0.28, 3.12]",Dose reduction versus dose maintenance,1,0.94,0.28,3.12,1,39,,< 3 months
1.39.2 < 6 months,5,687,"Risk Ratio (IV, Random, 95% CI)","3.48 [2.29, 5.30]",Dose reduction versus dose maintenance,1,3.48,2.29,5.3,1,39,,< 6 months
1.39.3 < 1 year,5,699,"Risk Ratio (IV, Random, 95% CI)","1.78 [0.68, 4.66]",Dose reduction versus dose maintenance,1,1.78,0.68,4.66,1,39,,< 1 year
1.39.4 > 1 year,1,131,"Risk Ratio (IV, Random, 95% CI)",Not estimable,Dose reduction versus dose maintenance,1,,,,1,39,,> 1 year
1.40 Mental state ‐ general: number of participants with clinically important change in general mental state (combined time points) Show forest plot,2,417,"Risk Ratio (IV, Random, 95% CI)","0.84 [0.75, 0.94]",Dose reduction versus dose maintenance,1,0.84,0.75,0.94,1,40,,Mental state ‐ general: number of participants with clinically important change in general mental state (combined time points) Show forest plot
1.40.1 < 1 year,2,417,"Risk Ratio (IV, Random, 95% CI)","0.84 [0.75, 0.94]",Dose reduction versus dose maintenance,1,0.84,0.75,0.94,1,40,,< 1 year
1.41 Mental state ‐ general: number of participants with clinically important change in general mental state (separated time points) Show forest plot,2,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,41,,Mental state ‐ general: number of participants with clinically important change in general mental state (separated time points) Show forest plot
1.41.1 < 3 months,1,20,"Risk Ratio (IV, Random, 95% CI)","2.50 [0.11, 54.87]",Dose reduction versus dose maintenance,1,2.5,0.11,54.87,1,41,,< 3 months
1.41.2 < 6 months,1,20,"Risk Ratio (IV, Random, 95% CI)","2.50 [0.11, 54.87]",Dose reduction versus dose maintenance,1,2.5,0.11,54.87,1,41,,< 6 months
1.41.3 < 1 year,1,397,"Risk Ratio (IV, Random, 95% CI)","0.84 [0.75, 0.94]",Dose reduction versus dose maintenance,1,0.84,0.75,0.94,1,41,,< 1 year
1.42 Mental state ‐ general: mean endpoint BPRS total (high = poor) Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,42,,Mental state ‐ general: mean endpoint BPRS total (high = poor) Show forest plot
1.42.1 < 3 months,1,26,"Mean Difference (IV, Random, 95% CI)","0.80 [‐2.93, 4.53]",Dose reduction versus dose maintenance,1,0.8,-2.93,4.53,1,42,,< 3 months
1.42.2 < 6 months,2,76,"Mean Difference (IV, Random, 95% CI)","‐0.63 [‐3.82, 2.55]",Dose reduction versus dose maintenance,1,-0.63,-3.82,2.55,1,42,,< 6 months
