Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.6 Global state: mean endpoint score using Clinical Global Impression – Improvement (high = poor) Show forest plot,2,40,"Mean Difference (IV, Random, 95% CI)","0.32 [‐0.32, 0.96]",Polypharmacy continuation versus polypharmacy reduction,1,0.32,-0.32,0.96,1,6,,Global state: mean endpoint score using Clinical Global Impression – Improvement (high = poor) Show forest plot
1.6.1 At < 3 months,2,40,"Mean Difference (IV, Random, 95% CI)","0.32 [‐0.32, 0.96]",Polypharmacy continuation versus polypharmacy reduction,1,0.32,-0.32,0.96,1,6,,At < 3 months
1.7 Global state: mean change score Clinical Global Impression – Improvement (high = poor) Show forest plot,1,12,"Mean Difference (IV, Random, 95% CI)",Not estimable,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,7,,Global state: mean change score Clinical Global Impression – Improvement (high = poor) Show forest plot
1.7.1 At < 3 months,1,12,"Mean Difference (IV, Random, 95% CI)",Not estimable,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,7,,At < 3 months
1.8 Leaving the study early due to any reason – overall acceptability (totals of time points combined) Show forest plot,5,319,"Risk Ratio (IV, Random, 95% CI)","0.44 [0.29, 0.68]",Polypharmacy continuation versus polypharmacy reduction,1,0.44,0.29,0.68,1,8,,Leaving the study early due to any reason – overall acceptability (totals of time points combined) Show forest plot
1.9 Leaving the study early due to any reason – overall acceptability (subtotals only) Show forest plot,5,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,9,,Leaving the study early due to any reason – overall acceptability (subtotals only) Show forest plot
1.9.1 At < 3 months,2,49,"Risk Ratio (IV, Random, 95% CI)","0.71 [0.13, 3.81]",Polypharmacy continuation versus polypharmacy reduction,1,0.71,0.13,3.81,1,9,,At < 3 months
1.9.2 At < 6 months,3,270,"Risk Ratio (IV, Random, 95% CI)","0.48 [0.27, 0.87]",Polypharmacy continuation versus polypharmacy reduction,1,0.48,0.27,0.87,1,9,,At < 6 months
1.9.3 At < 1 year,1,104,"Risk Ratio (IV, Random, 95% CI)","0.41 [0.23, 0.73]",Polypharmacy continuation versus polypharmacy reduction,1,0.41,0.23,0.73,1,9,,At < 1 year
1.10 Leaving the study early due to inefficacy – overall efficacy Show forest plot,3,201,"Risk Ratio (IV, Random, 95% CI)","0.21 [0.07, 0.65]",Polypharmacy continuation versus polypharmacy reduction,1,0.21,0.07,0.65,1,10,,Leaving the study early due to inefficacy – overall efficacy Show forest plot
1.10.1 At < 3 months,1,35,"Risk Ratio (IV, Random, 95% CI)","0.26 [0.03, 2.14]",Polypharmacy continuation versus polypharmacy reduction,1,0.26,0.03,2.14,1,10,,At < 3 months
1.10.2 At < 6 months,2,166,"Risk Ratio (IV, Random, 95% CI)","0.19 [0.05, 0.72]",Polypharmacy continuation versus polypharmacy reduction,1,0.19,0.05,0.72,1,10,,At < 6 months
1.11 Mental state – general: mean endpoint score on Positive and Negative Syndrome Scale Total (high = poor) Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,11,,Mental state – general: mean endpoint score on Positive and Negative Syndrome Scale Total (high = poor) Show forest plot
1.11.1 At < 3 months,1,105,"Mean Difference (IV, Random, 95% CI)","0.86 [‐5.29, 7.01]",Polypharmacy continuation versus polypharmacy reduction,1,0.86,-5.29,7.01,1,11,,At < 3 months
1.11.2 At < 6 months,2,130,"Mean Difference (IV, Random, 95% CI)","3.22 [‐1.48, 7.92]",Polypharmacy continuation versus polypharmacy reduction,1,3.22,-1.48,7.92,1,11,,At < 6 months
1.12 Mental state – general: mean endpoint score on Brief Psychiatric Rating Scale Total (high = poor) Show forest plot,1,35,"Mean Difference (IV, Random, 95% CI)","0.80 [‐5.30, 6.90]",Polypharmacy continuation versus polypharmacy reduction,1,0.8,-5.3,6.9,1,12,,Mental state – general: mean endpoint score on Brief Psychiatric Rating Scale Total (high = poor) Show forest plot
1.12.1 At < 3 months,1,35,"Mean Difference (IV, Random, 95% CI)","0.80 [‐5.30, 6.90]",Polypharmacy continuation versus polypharmacy reduction,1,0.8,-5.3,6.9,1,12,,At < 3 months
1.13 Mental state – general: mean endpoint score on Positive and Negative Syndrome Scale Total and Brief Psychiatric Rating Scale Total combined (high = poor) (time points combined) Show forest plot,3,167,"Std. Mean Difference (IV, Random, 95% CI)","0.16 [‐0.14, 0.47]",Polypharmacy continuation versus polypharmacy reduction,1,0.16,-0.14,0.47,1,13,,Mental state – general: mean endpoint score on Positive and Negative Syndrome Scale Total and Brief Psychiatric Rating Scale Total combined (high = poor) (time points combined) Show forest plot
1.14 Mental state – specific: mean endpoint score on Positive and Negative Syndrome Scale Positive (high = poor) Show forest plot,1,35,"Mean Difference (IV, Random, 95% CI)","1.40 [‐1.14, 3.94]",Polypharmacy continuation versus polypharmacy reduction,1,1.4,-1.14,3.94,1,14,,Mental state – specific: mean endpoint score on Positive and Negative Syndrome Scale Positive (high = poor) Show forest plot
1.14.1 At < 6 months,1,35,"Mean Difference (IV, Random, 95% CI)","1.40 [‐1.14, 3.94]",Polypharmacy continuation versus polypharmacy reduction,1,1.4,-1.14,3.94,1,14,,At < 6 months
1.15 Mental state – specific: mean endpoint score on Positive and Negative Syndrome Scale Negative (high = poor) Show forest plot,1,35,"Mean Difference (IV, Random, 95% CI)","3.30 [1.51, 5.09]",Polypharmacy continuation versus polypharmacy reduction,1,3.3,1.51,5.09,1,15,,Mental state – specific: mean endpoint score on Positive and Negative Syndrome Scale Negative (high = poor) Show forest plot
1.15.1 At < 6 months,1,35,"Mean Difference (IV, Random, 95% CI)","3.30 [1.51, 5.09]",Polypharmacy continuation versus polypharmacy reduction,1,3.3,1.51,5.09,1,15,,At < 6 months
1.16 Adverse effects: ≥ 1 adverse effect Show forest plot,1,14,"Risk Ratio (IV, Random, 95% CI)","5.00 [0.28, 88.53]",Polypharmacy continuation versus polypharmacy reduction,1,5.0,0.28,88.53,1,16,,Adverse effects: ≥ 1 adverse effect Show forest plot
1.16.1 At < 3 months,1,14,"Risk Ratio (IV, Random, 95% CI)","5.00 [0.28, 88.53]",Polypharmacy continuation versus polypharmacy reduction,1,5.0,0.28,88.53,1,16,,At < 3 months
1.17 Adverse effects – weight gain – mean body mass index change Show forest plot,1,127,"Mean Difference (IV, Random, 95% CI)","0.78 [‐0.03, 1.59]",Polypharmacy continuation versus polypharmacy reduction,1,0.78,-0.03,1.59,1,17,,Adverse effects – weight gain – mean body mass index change Show forest plot
1.17.1 At < 6 months,1,127,"Mean Difference (IV, Random, 95% CI)","0.78 [‐0.03, 1.59]",Polypharmacy continuation versus polypharmacy reduction,1,0.78,-0.03,1.59,1,17,,At < 6 months
1.18 Adverse effects – weight gain – endpoint mean weight (kg) Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,18,,Adverse effects – weight gain – endpoint mean weight (kg) Show forest plot
1.18.1 At < 3 months,1,104,"Mean Difference (IV, Random, 95% CI)","3.45 [‐4.08, 10.98]",Polypharmacy continuation versus polypharmacy reduction,1,3.45,-4.08,10.98,1,18,,At < 3 months
1.18.2 At < 6 months,1,94,"Mean Difference (IV, Random, 95% CI)","5.94 [‐2.12, 14.00]",Polypharmacy continuation versus polypharmacy reduction,1,5.94,-2.12,14.0,1,18,,At < 6 months
1.19 Adverse effects – specific: tardive dyskinesia Show forest plot,1,127,"Risk Ratio (IV, Random, 95% CI)","0.93 [0.38, 2.26]",Polypharmacy continuation versus polypharmacy reduction,1,0.93,0.38,2.26,1,19,,Adverse effects – specific: tardive dyskinesia Show forest plot
1.19.1 At < 6 months,1,127,"Risk Ratio (IV, Random, 95% CI)","0.93 [0.38, 2.26]",Polypharmacy continuation versus polypharmacy reduction,1,0.93,0.38,2.26,1,19,,At < 6 months
1.20 Adverse effects – specific: ≥ 1 extrapyramidal adverse effect Show forest plot,1,127,"Risk Ratio (IV, Random, 95% CI)","1.05 [0.51, 2.16]",Polypharmacy continuation versus polypharmacy reduction,1,1.05,0.51,2.16,1,20,,Adverse effects – specific: ≥ 1 extrapyramidal adverse effect Show forest plot
1.20.1 At < 6 months,1,127,"Risk Ratio (IV, Random, 95% CI)","1.05 [0.51, 2.16]",Polypharmacy continuation versus polypharmacy reduction,1,1.05,0.51,2.16,1,20,,At < 6 months
1.21 Adverse events: overall mortality Show forest plot,1,14,"Risk Ratio (IV, Random, 95% CI)",Not estimable,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,21,,Adverse events: overall mortality Show forest plot
1.21.1 At < 3 months,1,14,"Risk Ratio (IV, Random, 95% CI)",Not estimable,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,21,,At < 3 months
1.22 Adverse events – mortality due to natural causes Show forest plot,1,14,"Risk Ratio (IV, Random, 95% CI)",Not estimable,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,22,,Adverse events – mortality due to natural causes Show forest plot
1.22.1 At < 3 months,1,14,"Risk Ratio (IV, Random, 95% CI)",Not estimable,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,22,,At < 3 months
1.23 Adverse events – mortality due to suicide Show forest plot,1,14,"Risk Ratio (IV, Random, 95% CI)",Not estimable,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,23,,Adverse events – mortality due to suicide Show forest plot
1.23.1 At < 3 months,1,14,"Risk Ratio (IV, Random, 95% CI)",Not estimable,Polypharmacy continuation versus polypharmacy reduction,1,,,,1,23,,At < 3 months
1.24 Medication – mean antipsychotic dose at endpoint (olanzapine equivalents) Show forest plot,1,35,"Mean Difference (IV, Random, 95% CI)","2.71 [‐1.60, 7.02]",Polypharmacy continuation versus polypharmacy reduction,1,2.71,-1.6,7.02,1,24,,Medication – mean antipsychotic dose at endpoint (olanzapine equivalents) Show forest plot
1.24.1 At < 6 months,1,35,"Mean Difference (IV, Random, 95% CI)","2.71 [‐1.60, 7.02]",Polypharmacy continuation versus polypharmacy reduction,1,2.71,-1.6,7.02,1,24,,At < 6 months
1.25 Cognition – change score using Brief Assessment of Cognition in Schizophrenia – Japanese version (high = good) Show forest plot,1,35,"Mean Difference (IV, Random, 95% CI)","0.11 [‐0.22, 0.44]",Polypharmacy continuation versus polypharmacy reduction,1,0.11,-0.22,0.44,1,25,,Cognition – change score using Brief Assessment of Cognition in Schizophrenia – Japanese version (high = good) Show forest plot
1.25.1 At < 6 months,1,35,"Mean Difference (IV, Random, 95% CI)","0.11 [‐0.22, 0.44]",Polypharmacy continuation versus polypharmacy reduction,1,0.11,-0.22,0.44,1,25,,At < 6 months
2.1 Excluding high risk of bias studies Show forest plot,2,49,"Risk Ratio (IV, Random, 95% CI)","3.00 [0.14, 63.15]",Sensitivity analyses – adverse effects – leaving the study early due to adverse effects – overall tolerability,2,3.0,0.14,63.15,2,1,,Excluding high risk of bias studies Show forest plot
2.1.1 At < 3 months,2,49,"Risk Ratio (IV, Random, 95% CI)","3.00 [0.14, 63.15]",Sensitivity analyses – adverse effects – leaving the study early due to adverse effects – overall tolerability,2,3.0,0.14,63.15,2,1,,At < 3 months
2.2 Excluding non‐operationalised diagnosis criteria Show forest plot,2,162,"Risk Ratio (IV, Random, 95% CI)","5.24 [0.63, 43.61]",Sensitivity analyses – adverse effects – leaving the study early due to adverse effects – overall tolerability,2,5.24,0.63,43.61,2,2,,Excluding non‐operationalised diagnosis criteria Show forest plot
2.2.1 At < 3 months,1,35,"Risk Ratio (IV, Random, 95% CI)",Not estimable,Sensitivity analyses – adverse effects – leaving the study early due to adverse effects – overall tolerability,2,,,,2,2,,At < 3 months
2.2.2 At < 6 months,1,127,"Risk Ratio (IV, Random, 95% CI)","5.24 [0.63, 43.61]",Sensitivity analyses – adverse effects – leaving the study early due to adverse effects – overall tolerability,2,5.24,0.63,43.61,2,2,,At < 6 months
2.3 Fixed‐effect vs random‐effects Show forest plot,3,176,"Risk Ratio (IV, Fixed, 95% CI)","4.37 [0.77, 24.88]",Sensitivity analyses – adverse effects – leaving the study early due to adverse effects – overall tolerability,2,4.37,0.77,24.88,2,3,,Fixed‐effect vs random‐effects Show forest plot
2.3.1 At < 3 months,2,49,"Risk Ratio (IV, Fixed, 95% CI)","3.00 [0.14, 63.15]",Sensitivity analyses – adverse effects – leaving the study early due to adverse effects – overall tolerability,2,3.0,0.14,63.15,2,3,,At < 3 months
2.3.2 At < 6 months,1,127,"Risk Ratio (IV, Fixed, 95% CI)","5.24 [0.63, 43.61]",Sensitivity analyses – adverse effects – leaving the study early due to adverse effects – overall tolerability,2,5.24,0.63,43.61,2,3,,At < 6 months
