Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.2.6 2 g/kg over 5 days,1,25,"Odds Ratio (M‐H, Random, 95% CI)","0.15 [0.01, 1.50]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.15,0.01,1.5,1,2,,2 g/kg over 5 days
1.3 Adverse effects: total dose of IVIG subgrouped by single or multiple infusion Show forest plot,10,1376,"Odds Ratio (M‐H, Random, 95% CI)","0.57 [0.17, 1.89]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.57,0.17,1.89,1,3,,Adverse effects: total dose of IVIG subgrouped by single or multiple infusion Show forest plot
1.3.1 100 mg/kg over single infusion,1,214,"Odds Ratio (M‐H, Random, 95% CI)",Not estimable,Primary treatment ‐ IVIG (and ASA) versus ASA,1,,,,1,3,,100 mg/kg over single infusion
1.3.2 1000 mg/kg over single infusion,1,84,"Odds Ratio (M‐H, Random, 95% CI)","0.45 [0.12, 1.75]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.45,0.12,1.75,1,3,,1000 mg/kg over single infusion
1.3.3 600 mg/kg over 3 days,2,165,"Odds Ratio (M‐H, Random, 95% CI)","0.08 [0.01, 0.49]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.08,0.01,0.49,1,3,,600 mg/kg over 3 days
1.3.4 1200 mg/kg over 3 days,3,325,"Odds Ratio (M‐H, Random, 95% CI)","1.63 [0.08, 34.63]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,1.63,0.08,34.63,1,3,,1200 mg/kg over 3 days
1.3.5 1600 mg/kg over 4 days,1,168,"Odds Ratio (M‐H, Random, 95% CI)","1.44 [0.44, 4.72]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,1.44,0.44,4.72,1,3,,1600 mg/kg over 4 days
1.3.6 500 mg/kg over 5 days,1,295,"Odds Ratio (M‐H, Random, 95% CI)",Not estimable,Primary treatment ‐ IVIG (and ASA) versus ASA,1,,,,1,3,,500 mg/kg over 5 days
1.3.7 2 g/kg over 5 days,2,125,"Odds Ratio (M‐H, Random, 95% CI)","0.30 [0.04, 2.34]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.3,0.04,2.34,1,3,,2 g/kg over 5 days
1.4 Duration of fever from treatment onset (days): total dose of IVIG subgrouped by single or multiple infusion Show forest plot,3,307,"Mean Difference (IV, Random, 95% CI)","‐4.00 [‐5.06, ‐2.93]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,-4.0,-5.06,-2.93,1,4,,Duration of fever from treatment onset (days): total dose of IVIG subgrouped by single or multiple infusion Show forest plot
1.4.1 600 mg/kg over 3 days,1,72,"Mean Difference (IV, Random, 95% CI)","‐2.90 [‐5.54, ‐0.26]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,-2.9,-5.54,-0.26,1,4,,600 mg/kg over 3 days
1.4.2 1200 mg/kg over 3 days,2,201,"Mean Difference (IV, Random, 95% CI)","‐3.84 [‐6.35, ‐1.34]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,-3.84,-6.35,-1.34,1,4,,1200 mg/kg over 3 days
1.4.3 2 g/kg over 5 days,1,34,"Mean Difference (IV, Random, 95% CI)","‐4.20 [‐5.77, ‐2.63]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,-4.2,-5.77,-2.63,1,4,,2 g/kg over 5 days
1.5 Duration of fever from KD onset (days): total dose of IVIG subgrouped by single or multiple infusion Show forest plot,7,693,"Mean Difference (IV, Random, 95% CI)","‐1.60 [‐2.69, ‐0.52]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,-1.6,-2.69,-0.52,1,5,,Duration of fever from KD onset (days): total dose of IVIG subgrouped by single or multiple infusion Show forest plot
1.5.1 1000 mg/kg over single infusion,1,84,"Mean Difference (IV, Random, 95% CI)","0.00 [‐1.54, 1.54]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.0,-1.54,1.54,1,5,,1000 mg/kg over single infusion
1.5.2 600 mg/kg over 3 days,2,164,"Mean Difference (IV, Random, 95% CI)","‐1.05 [‐3.56, 1.45]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,-1.05,-3.56,1.45,1,5,,600 mg/kg over 3 days
1.5.3 1200 mg/kg over 3 days,3,318,"Mean Difference (IV, Random, 95% CI)","‐2.40 [‐4.62, ‐0.19]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,-2.4,-4.62,-0.19,1,5,,1200 mg/kg over 3 days
1.5.4 2 g/kg over 5 days,2,127,"Mean Difference (IV, Random, 95% CI)","‐1.79 [‐2.99, ‐0.60]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,-1.79,-2.99,-0.6,1,5,,2 g/kg over 5 days
1.6 Need for additional treatment: total dose of IVIG subgrouped by single or multiple infusion Show forest plot,3,272,"Odds Ratio (M‐H, Random, 95% CI)","0.27 [0.05, 1.57]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.27,0.05,1.57,1,6,,Need for additional treatment: total dose of IVIG subgrouped by single or multiple infusion Show forest plot
1.6.1 600 mg/kg over 3 days,1,73,"Odds Ratio (M‐H, Random, 95% CI)","0.16 [0.01, 4.03]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.16,0.01,4.03,1,6,,600 mg/kg over 3 days
1.6.2 1200 mg/kg over 3 days,1,72,"Odds Ratio (M‐H, Random, 95% CI)","0.09 [0.00, 2.01]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.09,0.0,2.01,1,6,,1200 mg/kg over 3 days
1.6.3 2 g/kg over 5 days,2,127,"Odds Ratio (M‐H, Random, 95% CI)","1.02 [0.06, 16.85]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,1.02,0.06,16.85,1,6,,2 g/kg over 5 days
2.1 CAA: high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot,8,1824,"Odds Ratio (M‐H, Random, 95% CI)","0.60 [0.40, 0.89]",Primary treatment ‐ IVIG versus IVIG,2,0.6,0.4,0.89,2,1,,CAA: high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot
2.1.1 High‐dose single infusion vs medium‐dose single infusion,3,555,"Odds Ratio (M‐H, Random, 95% CI)","0.85 [0.55, 1.31]",Primary treatment ‐ IVIG versus IVIG,2,0.85,0.55,1.31,2,1,,High‐dose single infusion vs medium‐dose single infusion
2.1.2 High‐dose multiple infusion vs medium‐dose single infusion,1,195,"Odds Ratio (M‐H, Random, 95% CI)","1.09 [0.47, 2.57]",Primary treatment ‐ IVIG versus IVIG,2,1.09,0.47,2.57,2,1,,High‐dose multiple infusion vs medium‐dose single infusion
2.1.3 High‐dose multiple infusion vs medium‐dose multiple infusion,4,649,"Odds Ratio (M‐H, Random, 95% CI)","0.53 [0.20, 1.41]",Primary treatment ‐ IVIG versus IVIG,2,0.53,0.2,1.41,2,1,,High‐dose multiple infusion vs medium‐dose multiple infusion
2.1.4 High‐dose multiple infusion vs low‐dose multiple infusion,4,425,"Odds Ratio (M‐H, Random, 95% CI)","0.36 [0.20, 0.64]",Primary treatment ‐ IVIG versus IVIG,2,0.36,0.2,0.64,2,1,,High‐dose multiple infusion vs low‐dose multiple infusion
2.2 CAA: higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot,3,,"Odds Ratio (M‐H, Random, 95% CI)",Subtotals only,Primary treatment ‐ IVIG versus IVIG,2,,,,2,2,,CAA: higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot
2.2.1 High‐dose single infusion versus medium‐dose single infusion,3,621,"Odds Ratio (M‐H, Random, 95% CI)","0.88 [0.59, 1.32]",Primary treatment ‐ IVIG versus IVIG,2,0.88,0.59,1.32,2,2,,High‐dose single infusion versus medium‐dose single infusion
2.3 CAA: higher‐dose multiple‐infusion regimens vs lower‐dose multiple‐infusion regimens Show forest plot,6,1154,"Odds Ratio (M‐H, Random, 95% CI)","0.46 [0.32, 0.66]",Primary treatment ‐ IVIG versus IVIG,2,0.46,0.32,0.66,2,3,,CAA: higher‐dose multiple‐infusion regimens vs lower‐dose multiple‐infusion regimens Show forest plot
2.3.1 High‐dose multiple infusion vs medium‐dose multiple infusion,4,583,"Odds Ratio (M‐H, Random, 95% CI)","0.49 [0.20, 1.19]",Primary treatment ‐ IVIG versus IVIG,2,0.49,0.2,1.19,2,3,,High‐dose multiple infusion vs medium‐dose multiple infusion
2.3.2 High‐dose multiple infusion vs low‐dose multiple infusion,4,366,"Odds Ratio (M‐H, Random, 95% CI)","0.35 [0.20, 0.62]",Primary treatment ‐ IVIG versus IVIG,2,0.35,0.2,0.62,2,3,,High‐dose multiple infusion vs low‐dose multiple infusion
2.3.3 Medium‐dose multiple infusion vs low‐dose multiple infusion,4,205,"Odds Ratio (M‐H, Random, 95% CI)","0.66 [0.36, 1.23]",Primary treatment ‐ IVIG versus IVIG,2,0.66,0.36,1.23,2,3,,Medium‐dose multiple infusion vs low‐dose multiple infusion
2.4 CAA: single‐infusion regimens vs multiple‐infusion regimens Show forest plot,4,962,"Odds Ratio (M‐H, Random, 95% CI)","0.61 [0.28, 1.34]",Primary treatment ‐ IVIG versus IVIG,2,0.61,0.28,1.34,2,4,,CAA: single‐infusion regimens vs multiple‐infusion regimens Show forest plot
2.4.1 High‐dose single infusion vs high‐dose multiple infusion,3,918,"Odds Ratio (M‐H, Random, 95% CI)","0.54 [0.23, 1.27]",Primary treatment ‐ IVIG versus IVIG,2,0.54,0.23,1.27,2,4,,High‐dose single infusion vs high‐dose multiple infusion
2.4.2 Medium‐dose single infusion vs high‐dose multiple infusion,1,44,"Odds Ratio (M‐H, Random, 95% CI)","2.10 [0.18, 25.01]",Primary treatment ‐ IVIG versus IVIG,2,2.1,0.18,25.01,2,4,,Medium‐dose single infusion vs high‐dose multiple infusion
2.5 Adverse effects: high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot,6,1659,"Odds Ratio (M‐H, Random, 95% CI)","1.11 [0.52, 2.37]",Primary treatment ‐ IVIG versus IVIG,2,1.11,0.52,2.37,2,5,,Adverse effects: high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot
2.5.1 High‐dose single infusion vs medium‐dose single infusion,2,446,"Odds Ratio (M‐H, Random, 95% CI)","1.02 [0.14, 7.34]",Primary treatment ‐ IVIG versus IVIG,2,1.02,0.14,7.34,2,5,,High‐dose single infusion vs medium‐dose single infusion
2.5.2 High‐dose multiple infusion vs medium‐dose single infusion,1,195,"Odds Ratio (M‐H, Random, 95% CI)","1.55 [0.06, 38.63]",Primary treatment ‐ IVIG versus IVIG,2,1.55,0.06,38.63,2,5,,High‐dose multiple infusion vs medium‐dose single infusion
2.5.3 High‐dose multiple infusion vs medium‐dose multiple infusion,3,623,"Odds Ratio (M‐H, Random, 95% CI)","1.22 [0.50, 3.01]",Primary treatment ‐ IVIG versus IVIG,2,1.22,0.5,3.01,2,5,,High‐dose multiple infusion vs medium‐dose multiple infusion
2.5.4 High‐dose multiple infusion vs low‐dose multiple infusion,3,395,"Odds Ratio (M‐H, Random, 95% CI)","0.53 [0.05, 5.93]",Primary treatment ‐ IVIG versus IVIG,2,0.53,0.05,5.93,2,5,,High‐dose multiple infusion vs low‐dose multiple infusion
2.6 Adverse effects: higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot,2,,"Odds Ratio (M‐H, Random, 95% CI)",Subtotals only,Primary treatment ‐ IVIG versus IVIG,2,,,,2,6,,Adverse effects: higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot
2.6.1 High‐dose single infusion vs medium‐dose single infusion,2,512,"Odds Ratio (M‐H, Random, 95% CI)","1.02 [0.14, 7.34]",Primary treatment ‐ IVIG versus IVIG,2,1.02,0.14,7.34,2,6,,High‐dose single infusion vs medium‐dose single infusion
2.7 Adverse effects: higher‐dose multiple‐infusion regimens vs lower‐dose multiple‐infusion regimens Show forest plot,5,1115,"Odds Ratio (M‐H, Random, 95% CI)","0.98 [0.43, 2.22]",Primary treatment ‐ IVIG versus IVIG,2,0.98,0.43,2.22,2,7,,Adverse effects: higher‐dose multiple‐infusion regimens vs lower‐dose multiple‐infusion regimens Show forest plot
2.7.1 High‐dose multiple infusion vs medium‐dose multiple infusion,3,572,"Odds Ratio (M‐H, Random, 95% CI)","1.16 [0.47, 2.86]",Primary treatment ‐ IVIG versus IVIG,2,1.16,0.47,2.86,2,7,,High‐dose multiple infusion vs medium‐dose multiple infusion
2.7.2 High‐dose multiple infusion vs low‐dose multiple infusion,3,345,"Odds Ratio (M‐H, Random, 95% CI)","0.53 [0.05, 5.93]",Primary treatment ‐ IVIG versus IVIG,2,0.53,0.05,5.93,2,7,,High‐dose multiple infusion vs low‐dose multiple infusion
2.7.3 Medium‐dose multiple infusion vs low‐dose multiple infusion,3,198,"Odds Ratio (M‐H, Random, 95% CI)","0.33 [0.01, 8.39]",Primary treatment ‐ IVIG versus IVIG,2,0.33,0.01,8.39,2,7,,Medium‐dose multiple infusion vs low‐dose multiple infusion
2.8 Adverse effects: single‐infusion regimens vs multiple‐infusion regimens Show forest plot,4,1005,"Odds Ratio (M‐H, Random, 95% CI)","1.61 [0.74, 3.51]",Primary treatment ‐ IVIG versus IVIG,2,1.61,0.74,3.51,2,8,,Adverse effects: single‐infusion regimens vs multiple‐infusion regimens Show forest plot
2.8.1 High‐dose single infusion vs high‐dose multiple infusion,3,961,"Odds Ratio (M‐H, Random, 95% CI)","1.32 [0.49, 3.56]",Primary treatment ‐ IVIG versus IVIG,2,1.32,0.49,3.56,2,8,,High‐dose single infusion vs high‐dose multiple infusion
2.8.2 Medium‐dose single infusion vs high‐dose multiple infusion,1,44,"Odds Ratio (M‐H, Random, 95% CI)","2.22 [0.63, 7.82]",Primary treatment ‐ IVIG versus IVIG,2,2.22,0.63,7.82,2,8,,Medium‐dose single infusion vs high‐dose multiple infusion
2.9 Duration of fever (days): high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot,4,992,"Mean Difference (IV, Random, 95% CI)","‐0.71 [‐1.36, ‐0.06]",Primary treatment ‐ IVIG versus IVIG,2,-0.71,-1.36,-0.06,2,9,,Duration of fever (days): high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot
2.9.1 High‐dose single infusion vs medium‐dose single infusion,3,555,"Mean Difference (IV, Random, 95% CI)","‐0.62 [‐1.56, 0.32]",Primary treatment ‐ IVIG versus IVIG,2,-0.62,-1.56,0.32,2,9,,High‐dose single infusion vs medium‐dose single infusion
2.9.2 High‐dose multiple infusion vs medium‐dose single infusion,1,195,"Mean Difference (IV, Random, 95% CI)","‐0.30 [‐0.94, 0.34]",Primary treatment ‐ IVIG versus IVIG,2,-0.3,-0.94,0.34,2,9,,High‐dose multiple infusion vs medium‐dose single infusion
2.9.3 High‐dose multiple infusion vs low‐dose multiple infusion,1,242,"Mean Difference (IV, Random, 95% CI)","‐1.70 [‐2.81, ‐0.59]",Primary treatment ‐ IVIG versus IVIG,2,-1.7,-2.81,-0.59,2,9,,High‐dose multiple infusion vs low‐dose multiple infusion
2.10 Duration of fever (days): higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Primary treatment ‐ IVIG versus IVIG,2,,,,2,10,,Duration of fever (days): higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot
2.10.1 High‐dose single infusion vs medium‐dose single infusion,2,512,"Mean Difference (IV, Random, 95% CI)","‐0.12 [‐0.68, 0.45]",Primary treatment ‐ IVIG versus IVIG,2,-0.12,-0.68,0.45,2,10,,High‐dose single infusion vs medium‐dose single infusion
2.11 Duration of fever (days): higher‐dose multiple‐infusion regimens vs lower‐dose multiple‐infusion regimens Show forest plot,2,322,"Mean Difference (IV, Random, 95% CI)","‐0.64 [‐2.88, 1.61]",Primary treatment ‐ IVIG versus IVIG,2,-0.64,-2.88,1.61,2,11,,Duration of fever (days): higher‐dose multiple‐infusion regimens vs lower‐dose multiple‐infusion regimens Show forest plot
2.11.1 High‐dose multiple infusion vs low‐dose multiple infusion,1,242,"Mean Difference (IV, Random, 95% CI)","‐1.70 [‐2.81, ‐0.59]",Primary treatment ‐ IVIG versus IVIG,2,-1.7,-2.81,-0.59,2,11,,High‐dose multiple infusion vs low‐dose multiple infusion
2.11.2 Medium‐dose multiple infusion vs low‐dose multiple infusion,1,80,"Mean Difference (IV, Random, 95% CI)","0.60 [‐1.07, 2.27]",Primary treatment ‐ IVIG versus IVIG,2,0.6,-1.07,2.27,2,11,,Medium‐dose multiple infusion vs low‐dose multiple infusion
2.12 Duration of fever (days): single‐infusion regimens vs multiple‐infusion regimens Show forest plot,3,961,"Mean Difference (IV, Random, 95% CI)","‐0.49 [‐1.42, 0.44]",Primary treatment ‐ IVIG versus IVIG,2,-0.49,-1.42,0.44,2,12,,Duration of fever (days): single‐infusion regimens vs multiple‐infusion regimens Show forest plot
2.12.1 High‐dose single infusion vs high‐dose multiple infusion ‐ duration from onset of disease,1,267,"Mean Difference (IV, Random, 95% CI)","0.40 [‐0.09, 0.89]",Primary treatment ‐ IVIG versus IVIG,2,0.4,-0.09,0.89,2,12,,High‐dose single infusion vs high‐dose multiple infusion ‐ duration from onset of disease
2.12.2 High‐dose single infusion vs high‐dose multiple infusion ‐ duration from onset of treatment,2,694,"Mean Difference (IV, Random, 95% CI)","‐1.09 [‐2.63, 0.45]",Primary treatment ‐ IVIG versus IVIG,2,-1.09,-2.63,0.45,2,12,,High‐dose single infusion vs high‐dose multiple infusion ‐ duration from onset of treatment
2.13 Need for additional treatment: high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot,4,1125,"Odds Ratio (M‐H, Random, 95% CI)","0.29 [0.10, 0.88]",Primary treatment ‐ IVIG versus IVIG,2,0.29,0.1,0.88,2,13,,Need for additional treatment: high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot
2.13.1 High‐dose single infusion vs medium‐dose single infusion,2,316,"Odds Ratio (M‐H, Random, 95% CI)","0.26 [0.01, 4.67]",Primary treatment ‐ IVIG versus IVIG,2,0.26,0.01,4.67,2,13,,High‐dose single infusion vs medium‐dose single infusion
2.13.2 High‐dose multiple infusion vs medium‐dose single infusion,1,194,"Odds Ratio (M‐H, Random, 95% CI)","0.58 [0.19, 1.80]",Primary treatment ‐ IVIG versus IVIG,2,0.58,0.19,1.8,2,13,,High‐dose multiple infusion vs medium‐dose single infusion
2.13.3 High‐dose multiple infusion vs medium‐dose multiple infusion,2,530,"Odds Ratio (M‐H, Random, 95% CI)","0.24 [0.06, 0.92]",Primary treatment ‐ IVIG versus IVIG,2,0.24,0.06,0.92,2,13,,High‐dose multiple infusion vs medium‐dose multiple infusion
2.13.4 High‐dose multiple infusion vs low‐dose multiple infusion,1,85,"Odds Ratio (M‐H, Random, 95% CI)","0.14 [0.01, 2.56]",Primary treatment ‐ IVIG versus IVIG,2,0.14,0.01,2.56,2,13,,High‐dose multiple infusion vs low‐dose multiple infusion
2.14 Need for additional treatment: higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot,2,,"Odds Ratio (M‐H, Random, 95% CI)",Subtotals only,Primary treatment ‐ IVIG versus IVIG,2,,,,2,14,,Need for additional treatment: higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot
2.14.1 High‐dose single infusion vs medium‐dose single infusion,2,382,"Odds Ratio (M‐H, Random, 95% CI)","0.26 [0.01, 4.80]",Primary treatment ‐ IVIG versus IVIG,2,0.26,0.01,4.8,2,14,,High‐dose single infusion vs medium‐dose single infusion
2.15 Need for additional treatment: higher‐dose multiple‐infusion regimens vs lower‐dose multiple‐infusion regimens Show forest plot,2,615,"Odds Ratio (M‐H, Random, 95% CI)","0.24 [0.08, 0.70]",Primary treatment ‐ IVIG versus IVIG,2,0.24,0.08,0.7,2,15,,Need for additional treatment: higher‐dose multiple‐infusion regimens vs lower‐dose multiple‐infusion regimens Show forest plot
2.15.1 High‐dose multiple infusion vs medium‐dose multiple infusion,2,504,"Odds Ratio (M‐H, Random, 95% CI)","0.23 [0.06, 0.90]",Primary treatment ‐ IVIG versus IVIG,2,0.23,0.06,0.9,2,15,,High‐dose multiple infusion vs medium‐dose multiple infusion
2.15.2 High‐dose multiple infusion vs low‐dose multiple infusion,1,56,"Odds Ratio (M‐H, Random, 95% CI)","0.13 [0.01, 2.60]",Primary treatment ‐ IVIG versus IVIG,2,0.13,0.01,2.6,2,15,,High‐dose multiple infusion vs low‐dose multiple infusion
2.15.3 Medium‐dose multiple infusion vs low‐dose multiple infusion,1,55,"Odds Ratio (M‐H, Random, 95% CI)","0.35 [0.03, 3.56]",Primary treatment ‐ IVIG versus IVIG,2,0.35,0.03,3.56,2,15,,Medium‐dose multiple infusion vs low‐dose multiple infusion
2.16 Need for additional treatment: single‐infusion regimens vs multiple‐infusion regimens Show forest plot,2,818,"Odds Ratio (M‐H, Random, 95% CI)","1.14 [0.38, 3.39]",Primary treatment ‐ IVIG versus IVIG,2,1.14,0.38,3.39,2,16,,Need for additional treatment: single‐infusion regimens vs multiple‐infusion regimens Show forest plot
2.16.1 High‐dose single infusion vs high‐dose multiple infusion,2,818,"Odds Ratio (M‐H, Random, 95% CI)","1.14 [0.38, 3.39]",Primary treatment ‐ IVIG versus IVIG,2,1.14,0.38,3.39,2,16,,High‐dose single infusion vs high‐dose multiple infusion
2.17 Length of hospital stay (days): high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot,3,752,"Mean Difference (IV, Random, 95% CI)","‐0.24 [‐0.78, 0.30]",Primary treatment ‐ IVIG versus IVIG,2,-0.24,-0.78,0.3,2,17,,Length of hospital stay (days): high‐dose regimens vs medium‐ or low‐dose regimens Show forest plot
2.17.1 High‐dose single infusion vs medium‐dose single infusion,3,558,"Mean Difference (IV, Random, 95% CI)","‐0.41 [‐1.15, 0.33]",Primary treatment ‐ IVIG versus IVIG,2,-0.41,-1.15,0.33,2,17,,High‐dose single infusion vs medium‐dose single infusion
2.17.2 High‐dose multiple infusion vs medium‐dose single infusion,1,194,"Mean Difference (IV, Random, 95% CI)","0.10 [‐0.83, 1.03]",Primary treatment ‐ IVIG versus IVIG,2,0.1,-0.83,1.03,2,17,,High‐dose multiple infusion vs medium‐dose single infusion
2.18 Length of hospital stay (days): higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot,3,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Primary treatment ‐ IVIG versus IVIG,2,,,,2,18,,Length of hospital stay (days): higher‐dose single‐infusion regimens vs lower‐dose single‐infusion regimens Show forest plot
2.18.1 High‐dose single infusion vs medium‐dose single infusion,3,621,"Mean Difference (IV, Random, 95% CI)","‐0.36 [‐1.09, 0.37]",Primary treatment ‐ IVIG versus IVIG,2,-0.36,-1.09,0.37,2,18,,High‐dose single infusion vs medium‐dose single infusion
2.19 Length of hospital stay (days): single‐infusion regimens vs multiple‐infusion regimens Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Primary treatment ‐ IVIG versus IVIG,2,,,,2,19,,Length of hospital stay (days): single‐infusion regimens vs multiple‐infusion regimens Show forest plot
2.19.1 High‐dose single infusion vs high‐dose multiple infusion,2,414,"Mean Difference (IV, Random, 95% CI)","‐1.24 [‐3.86, 1.37]",Primary treatment ‐ IVIG versus IVIG,2,-1.24,-3.86,1.37,2,19,,High‐dose single infusion vs high‐dose multiple infusion
