Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.10.1 6 to ≤ 12 months,2,82,"Peto Odds Ratio (Peto, Fixed, 95% CI)","3.14 [1.28, 7.66]",Betahistine versus placebo/no treatment,1,3.14,1.28,7.66,1,10,,6 to ≤ 12 months
1.11 Change in tinnitus Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Betahistine versus placebo/no treatment,1,,,,1,11,,Change in tinnitus Show forest plot
1.11.1 6 to ≤ 12 months,1,168,"Mean Difference (IV, Random, 95% CI)","‐0.06 [‐1.52, 1.39]",Betahistine versus placebo/no treatment,1,-0.06,-1.52,1.39,1,11,,6 to ≤ 12 months
1.11.2 ≥ 12 months,1,62,"Mean Difference (IV, Random, 95% CI)","0.90 [‐5.55, 7.35]",Betahistine versus placebo/no treatment,1,0.9,-5.55,7.35,1,11,,≥ 12 months
1.12 Other adverse effects Show forest plot,4,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Betahistine versus placebo/no treatment,1,,,,1,12,,Other adverse effects Show forest plot
1.12.1 Headache,4,374,"Peto Odds Ratio (Peto, Fixed, 95% CI)","1.16 [0.69, 1.95]",Betahistine versus placebo/no treatment,1,1.16,0.69,1.95,1,12,,Headache
1.12.2 Gastrointestinal disturbance,4,372,"Peto Odds Ratio (Peto, Fixed, 95% CI)","1.08 [0.65, 1.78]",Betahistine versus placebo/no treatment,1,1.08,0.65,1.78,1,12,,Gastrointestinal disturbance
1.12.3 Dry mouth,2,301,"Peto Odds Ratio (Peto, Fixed, 95% CI)","0.30 [0.05, 1.95]",Betahistine versus placebo/no treatment,1,0.3,0.05,1.95,1,12,,Dry mouth
1.13 Other adverse effects Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Betahistine versus placebo/no treatment,1,,,,1,13,,Other adverse effects Show forest plot
1.13.1 Sleep disturbance,2,255,"Risk Ratio (M‐H, Random, 95% CI)","1.43 [0.47, 4.38]",Betahistine versus placebo/no treatment,1,1.43,0.47,4.38,1,13,,Sleep disturbance
2.1 Improvement in vertigo frequency Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Diuretic versus placebo/no treatment,2,,,,2,1,,Improvement in vertigo frequency Show forest plot
2.1.1 6 to ≤ 12 months,1,70,"Risk Ratio (M‐H, Random, 95% CI)","1.69 [1.13, 2.53]",Diuretic versus placebo/no treatment,2,1.69,1.13,2.53,2,1,,6 to ≤ 12 months
2.2 Change in vertigo frequency Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Diuretic versus placebo/no treatment,2,,,,2,2,,Change in vertigo frequency Show forest plot
2.2.1 3 to < 6 months,1,220,"Mean Difference (IV, Random, 95% CI)","‐2.44 [‐4.98, 0.10]",Diuretic versus placebo/no treatment,2,-2.44,-4.98,0.1,2,2,,3 to < 6 months
2.3 Change in disease‐specific health‐related quality of life Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Diuretic versus placebo/no treatment,2,,,,2,3,,Change in disease‐specific health‐related quality of life Show forest plot
2.3.1 3 to < 6 months,1,220,"Mean Difference (IV, Random, 95% CI)","2.94 [‐3.86, 9.74]",Diuretic versus placebo/no treatment,2,2.94,-3.86,9.74,2,3,,3 to < 6 months
2.4 Change in hearing: continuous data only Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Diuretic versus placebo/no treatment,2,,,,2,4,,Change in hearing: continuous data only Show forest plot
2.4.1 3 to < 6 months,1,220,"Mean Difference (IV, Random, 95% CI)","‐1.43 [‐3.88, 1.02]",Diuretic versus placebo/no treatment,2,-1.43,-3.88,1.02,2,4,,3 to < 6 months
2.5 Change in hearing: dichotomous data only Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Diuretic versus placebo/no treatment,2,,,,2,5,,Change in hearing: dichotomous data only Show forest plot
2.5.1 6 to ≤ 12 months,1,72,"Risk Ratio (M‐H, Random, 95% CI)","1.77 [1.07, 2.91]",Diuretic versus placebo/no treatment,2,1.77,1.07,2.91,2,5,,6 to ≤ 12 months
2.6 Change in tinnitus Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Diuretic versus placebo/no treatment,2,,,,2,6,,Change in tinnitus Show forest plot
2.6.1 3 to < 6 months,1,220,"Mean Difference (IV, Random, 95% CI)","1.89 [‐4.96, 8.74]",Diuretic versus placebo/no treatment,2,1.89,-4.96,8.74,2,6,,3 to < 6 months
3.1 Improvement in vertigo frequency at 3 to < 6 months Show forest plot,1,23,"Risk Ratio (M‐H, Random, 95% CI)","1.38 [0.28, 6.75]",Antiviral versus placebo/no treatment,3,1.38,0.28,6.75,3,1,,Improvement in vertigo frequency at 3 to < 6 months Show forest plot
3.2 Change in vertigo frequency at 3 to < 6 months Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Antiviral versus placebo/no treatment,3,,,,3,2,,Change in vertigo frequency at 3 to < 6 months Show forest plot
3.3 Disease‐specific health‐related quality of life at 3 to < 6 months Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Antiviral versus placebo/no treatment,3,,,,3,3,,Disease‐specific health‐related quality of life at 3 to < 6 months Show forest plot
3.4 Change in hearing at 3 to < 6 months Show forest plot,1,16,"Mean Difference (IV, Random, 95% CI)","4.30 [‐13.94, 22.54]",Antiviral versus placebo/no treatment,3,4.3,-13.94,22.54,3,4,,Change in hearing at 3 to < 6 months Show forest plot
4.1 Improvement in vertigo at > 12 months Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Corticosteroids versus placebo/no treatment,4,,,,4,1,,Improvement in vertigo at > 12 months Show forest plot
4.2 Improvement in vertigo at > 12 months: sensitivity analysis for complete/substantial improvement Show forest plot,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Corticosteroids versus placebo/no treatment,4,,,,4,2,,Improvement in vertigo at > 12 months: sensitivity analysis for complete/substantial improvement Show forest plot
4.3 Change in vertigo frequency at 3 to < 6 months Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Corticosteroids versus placebo/no treatment,4,,,,4,3,,Change in vertigo frequency at 3 to < 6 months Show forest plot
4.4 Disease‐specific health‐related quality of life at > 12 months Show forest plot,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Corticosteroids versus placebo/no treatment,4,,,,4,4,,Disease‐specific health‐related quality of life at > 12 months Show forest plot
4.5 Other adverse effects Show forest plot,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Corticosteroids versus placebo/no treatment,4,,,,4,5,,Other adverse effects Show forest plot
4.5.1 Steroid‐related side effects,1,16,"Peto Odds Ratio (Peto, Fixed, 95% CI)","7.39 [0.15, 372.38]",Corticosteroids versus placebo/no treatment,4,7.39,0.15,372.38,4,5,,Steroid‐related side effects
