Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.8 Change in hearing: continuous data Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Intratympanic corticosteroids versus placebo/no treatment,1,,,,1,8,,Change in hearing: continuous data Show forest plot
1.8.1 6 to ≤ 12 months,1,20,"Mean Difference (IV, Random, 95% CI)","‐4.95 [‐16.50, 6.60]",Intratympanic corticosteroids versus placebo/no treatment,1,-4.95,-16.5,6.6,1,8,,6 to ≤ 12 months
1.8.2 > 12 months,1,18,"Mean Difference (IV, Random, 95% CI)","‐2.84 [‐9.61, 3.93]",Intratympanic corticosteroids versus placebo/no treatment,1,-2.84,-9.61,3.93,1,8,,> 12 months
1.9 Improvement in hearing: dichotomous data Show forest plot,4,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Intratympanic corticosteroids versus placebo/no treatment,1,,,,1,9,,Improvement in hearing: dichotomous data Show forest plot
1.9.1 3 to < 6 months,2,184,"Risk Ratio (M‐H, Random, 95% CI)","0.45 [0.18, 1.15]",Intratympanic corticosteroids versus placebo/no treatment,1,0.45,0.18,1.15,1,9,,3 to < 6 months
1.9.2 6 to ≤ 12 months,2,76,"Risk Ratio (M‐H, Random, 95% CI)","0.73 [0.45, 1.17]",Intratympanic corticosteroids versus placebo/no treatment,1,0.73,0.45,1.17,1,9,,6 to ≤ 12 months
1.9.3 > 12 months,2,58,"Risk Ratio (M‐H, Random, 95% CI)","0.79 [0.46, 1.35]",Intratympanic corticosteroids versus placebo/no treatment,1,0.79,0.46,1.35,1,9,,> 12 months
1.10 Change in tinnitus Show forest plot,2,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Intratympanic corticosteroids versus placebo/no treatment,1,,,,1,10,,Change in tinnitus Show forest plot
1.10.1 3 to < 6 months,1,44,"Mean Difference (IV, Random, 95% CI)","‐9.69 [‐20.28, 0.89]",Intratympanic corticosteroids versus placebo/no treatment,1,-9.69,-20.28,0.89,1,10,,3 to < 6 months
1.10.2 6 to ≤ 12 months,1,20,"Mean Difference (IV, Random, 95% CI)","‐1.12 [‐24.75, 22.51]",Intratympanic corticosteroids versus placebo/no treatment,1,-1.12,-24.75,22.51,1,10,,6 to ≤ 12 months
1.10.3 > 12 months,1,18,"Mean Difference (IV, Random, 95% CI)","6.60 [‐7.79, 20.99]",Intratympanic corticosteroids versus placebo/no treatment,1,6.6,-7.79,20.99,1,10,,> 12 months
1.11 Other adverse effects Show forest plot,4,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Intratympanic corticosteroids versus placebo/no treatment,1,,,,1,11,,Other adverse effects Show forest plot
1.11.1 Persistent tympanic membrane perforation,3,320,"Peto Odds Ratio (Peto, Fixed, 95% CI)","5.71 [1.56, 20.96]",Intratympanic corticosteroids versus placebo/no treatment,1,5.71,1.56,20.96,1,11,,Persistent tympanic membrane perforation
1.11.2 Ear pain,4,500,"Peto Odds Ratio (Peto, Fixed, 95% CI)","1.19 [0.47, 3.04]",Intratympanic corticosteroids versus placebo/no treatment,1,1.19,0.47,3.04,1,11,,Ear pain
1.11.3 Post‐injection vertigo,3,346,"Peto Odds Ratio (Peto, Fixed, 95% CI)","1.78 [0.65, 4.87]",Intratympanic corticosteroids versus placebo/no treatment,1,1.78,0.65,4.87,1,11,,Post‐injection vertigo
"1.11.4 New onset, permanent and total hearing loss in the affected ear",2,172,"Peto Odds Ratio (Peto, Fixed, 95% CI)","3.47 [0.02, 486.20]",Intratympanic corticosteroids versus placebo/no treatment,1,3.47,0.02,486.2,1,11,,"New onset, permanent and total hearing loss in the affected ear"
1.11.5 New onset of tinnitus in the affected ear,2,302,"Peto Odds Ratio (Peto, Fixed, 95% CI)","1.09 [0.30, 3.91]",Intratympanic corticosteroids versus placebo/no treatment,1,1.09,0.3,3.91,1,11,,New onset of tinnitus in the affected ear
