Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name
"Change in place of residence to nursing or residential home, and days spent in a nursing home or home for the aged, between 6 and 24 months' follow‐up","Change in place of residence to nursing or residential home, and days spent in a nursing home or home for the aged, between 6 and 24 months' follow‐up","Change in place of residence to nursing or residential home, and days spent in a nursing home or home for the aged, between 6 and 24 months' follow‐up",,,Case management compared with usual care for change in place of residence to a nursing or residential home,3,Change,,"in place of residence to nursing or residential home, and days spent in a nursing home or home for the aged, between 6 and 24 m",
Study,Results,Notes,,,Case management compared with usual care for change in place of residence to a nursing or residential home,3,Study,,,
Applebaum 2002,Nursing home admissions 6 months: IG: 8/156; CG: 12/152 From 12 to 18 months: IG: 16/111; CG: 17/108,"Number of participants at baseline: intervention group (IG): 156; control group (CG): 152. Follow‐up: 6 months, 12–18 months.",,,Case management compared with usual care for change in place of residence to a nursing or residential home,3,Applebaum,,,
Dalby 2000,Nursing home admissions IG: 0/73; CG: 1/69,Number of participants at baseline: intervention group (IG): 73; control group (CG): 69. Follow‐up: 14 months.,,,Case management compared with usual care for change in place of residence to a nursing or residential home,3,Dalby,,,
Kono 2012,Nursing home admissions (institutionalised) IG: 5/161; CG: 3/162,Number of participants at baseline: intervention group (IG): 161; control group (CG): 162. Follow‐up: 24 months.,,,Case management compared with usual care for change in place of residence to a nursing or residential home,3,Kono,,,
Kono 2016,Nursing home admissions (institutionalised) IG: 5/171; CG: 2/172,Number of participants at baseline: intervention group (IG): 179; control group (CG): 181. Follow‐up: 12–24 months.,,,Case management compared with usual care for change in place of residence to a nursing or residential home,3,Kono,,,
Leung 2004,"Admitted to ""residential facilities for long‐term placement"" IG: 1/45; CG: 2/47 RR 0.52 (95% CI 0.05 to 5.56)",Number of participants at baseline: intervention group (IG): 45; control group (CG): 47. Follow‐up: 12 months. CI: confidence interval; RR. risk ratio.,,,Case management compared with usual care for change in place of residence to a nursing or residential home,3,Leung,,,
Melis 2008,Days spent in a home for the aged IG: mean 24.0 days (SD 58.0); CG: mean 32.0 days (SD 65.0) MD −8.0 days (95% CI −13.46 to 29.46) Days spent in a nursing home IG: mean 4.0 days (SD 16.0) CG: mean 5.0 days (SD 23.0) MD −1.0 days (95% CI −5.74 to 7.74),Number of participants at baseline: intervention group (IG): 88; control group (CG): 67. Follow‐up: 6 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in place of residence to a nursing or residential home,3,Melis,,,
van Hout 2010,Time to institutionalisation IG: 23/331; CG: 20/320 HR 1.04 (95% CI 0.07 to 16.6),"Number of participants at baseline: intervention group (IG): 331; control group (CG): 320. Other outcomes: hospital registry, supplemented with self‐report (hospital admission) and primary care or nursing homes records (institutionalisation). Follow‐up: 18 months. CI: confidence interval; HR: hazard ratio.",,,Case management compared with usual care for change in place of residence to a nursing or residential home,3,van,,,
3.1 Quality of life between 3 and 24 months' follow‐up Show forest plot,0,,Other data,No numeric data,Case management compared with usual care for quality of life,5,3,1,,Quality of life between 3 and 24 months' follow‐up Show forest plot
Quality of life between 3 and 24 months' follow‐up,Quality of life between 3 and 24 months' follow‐up,Quality of life between 3 and 24 months' follow‐up,,,Case management compared with usual care for quality of life,5,Quality,,of life between 3 and 24 m,
Study,Results,Notes,,,Case management compared with usual care for quality of life,5,Study,,,
Bleijenberg 2016,"RAND‐36 (physical health) 6 months: IG2: mean 59.5 points (95% CI 58.6 to 60.3) CG: mean 58.4 points (95% CI 57.4 to 59.4) 12 months: IG2: mean 58.3 points (95% CI 57.3 to 59.3) CG: mean 56.6 points (95% CI 55.1 to 58.1) RAND‐36 (social health) 6 months: IG2: mean 43.0 points (95% CI 42.3 to 43.8) CG: mean 42.6 points (95% CI 41.6 to 43.6) 12 months: IG2: mean 42.7 points (95% CI 42.1 to 43.2) CG: mean 42.3 points (95% CI 41.7 to 42.9) RAND‐36 (mental health) 6 months: IG2: mean 70.2 points (95% CI 69.4 to 71.1) CG: mean 69.9 points (95% CI 69,0 to 70.8) 12 months: IG2: mean 69.7 points (95% CI 69.0 to 70.4) CG: mean 68.3 points (95% CI 67.5 to 69.2) RAND‐36 (vitality) 6 months: IG2: mean 56.7 points (95% CI 55.8 to 57.6) CG: mean 56.6 points (95% CI 55.5 to 57.5) 12 months: IG2: mean 56.0 points (95% CI 55.1 to 56.9) CG: mean 55.0 points (95% CI 53.7 to 56.3) Perceived quality of life: 6 months: IG2: mean 7.2 points (95% CI 7.2 to 7.3) CG: mean 7.2 points (95% CI 7.1 to 7.2) 12 months: IG2: mean 7.2 points (95% CI 7.1 to 7.3) CG: mean 7.1 points (95% CI 7.0 to 7.2) EQ‐5D: 6 months: IG2: mean 0.78 points (95% CI 0.7 to 0.8) CG: mean 0.8 points (95% CI 0.7 to 0.8) 12 months: IG2: mean 0.7 points (95% CI 0.7 to 0.8) CG: mean 0.7 points (95% CI 0.7 to 0.8)","Number of participants at baseline: intervention group 1 (not analysed in this review): 790; intervention group 2 (IG2): 1446; control group (CG): 856. Instrument: RAND Corporation 36‐item health‐related quality of life instrument (RAND‐36; physical, social, mental, vitality subscales); EuroQol Five‐Dimension Questionnaire (EQ‐5D). Follow‐up: 6 and 12 months. CI: confidence interval.",,,Case management compared with usual care for quality of life,5,Bleijenberg,,,
Cameron 2013,3 months: IG: mean 60.6 points (SD 20.1) CG: mean 60.3 points (SD 16.9) MD 0.3 points (95% CI −4.57 to 5.17) 12 months: IG: mean 57.5 points (SD 20.8) CG: mean 57.7 points (SD 19.7) MD 0.2 points (95% CI −5.23 to 5.63),"Number of participants at baseline: intervention group (IG): 120; control group (CG): 21. Instrument: EuroQol Five‐Dimension Questionnaire Visual Analogue Scale (EQ‐5D‐VAS; vertical scale, scores range from 0–100, higher scores represent better quality of life). Follow‐up: 3 and 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for quality of life,5,Cameron,,,
Gagnon 1999,Physical functioning IG: mean 46.7 points (SD 29.8) CG: mean 44.1 points (SD 29.9) MD 2.6 points (95% CI −4.01 to 9.21) Role‐physical IG: mean 49.0 points (SD 44.1) CG: mean 49.1 points (SD 44.3) MD 0.1 points (95% CI −9.72 to 9.92) Bodily pain IG: mean 56.2 points (SD 33.1) CG: mean 56.4 points (SD 33.8) MD 0.2 points (95% CI −7.21 to 7.61) General health IG: mean 46.2 points (SD 21.6) CG: mean 48.1 points (SD 20.0) MD 1.9 points (95% CI −2.74 to 6.54) Vitality IG: mean 42.9 points (SD 25.7) CG: mean 42.5 points (SD 25.0) MD 0.1 points (95% CI −5.52 to 5.72) Social functioning IG: mean 69.8 points (SD 33.5) CG: mean 68.9 points (SD 34.8) MD 0.9 points (95% CI −6.78 to 8.58) Role‐emotional IG: mean 68.2 points (SD 44.0) CG: mean 62.1 points (SD 46.0) MD 6.1 points (95% CI −3.92 to 16.12) Mental health IG: mean 60.0 points (SD 24.0) CG: mean 59.7 points (SD 23.2) MD 0.3 points (95% CI −4.94 to 5.54),"Number of participants at baseline: intervention group (IG): 212; control group (CG): 215. Instrument: Medical Outcomes Study 36‐item Short‐Form Health Survey (SF‐36; 10 subscales, scores range from 0–100, higher scores represent better quality of life). Follow‐up: 10 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for quality of life,5,Gagnon,,,
Hoogendijk 2016,"SF‐12 mental health Analysed using linear mixed model analysis adjusting for baseline differences. 1145 participants, 4481 observations Baseline (all groups): 49.9 (10.5) Time‐specific intervention effect B: 6 months: −0.22 (95% CI −0.91 to 0.46) P = 0.52 12 months: 0.34 (95% CI −0.55 to 1.22) P = 0.46 18 months: 0.06 (95% CI −1.08,1.20) P = 0.92 24 months: −0.80 (95% CI −2.31 to 0.72) P = 0.30 Little or no difference between groups regardless of time point. SF‐12 physical health Analysed using linear mixed model analysis adjusting for baseline differences. 1145 participants, 4481 observations Baseline (all groups): 33.8 (9.5) Time‐specific intervention effect B: 6 months: −0.25 (95% CI −0.53 to 1.03) P = 0.53 12 months: −0.37 (95% CI −1.38 to 0.64) P = 0.47 18 months: 0.01 (95% CI −1.29,1.30) P = 0.99 24 months: −0.11 (95% CI −1.83 to 1.61) P = 0.90 Little or no difference between groups regardless of time point. EQ‐5D Analysed using linear mixed model analysis adjusting for baseline differences 1144 respondents (participants), 4556 observations Baseline (all groups): 0.60 (0.28) Time‐specific intervention effect B: 6 months: 0.01 (95% CI −0.01 to 0.03) P = 0.37 12 months: 0.01 (95% CI −0.01 to 0.04) P = 0.24 18 months: 0.03 (95% CI 0.00 to 0.06) P = 0.006 24 months: 0.01 (95% CI −0.03 to 0.05) P = 0.63 Little or no difference between groups regardless of time point.","Instrument: Medical Outcomes Study 12‐item Short‐Form Health Survey (SF‐12); EuroQol Five‐Dimension Questionnaire (EQ‐5D). Follow‐up: 6, 12, 18, and 24 months. CI: confidence interval.",,,Case management compared with usual care for quality of life,5,Hoogendijk,,,
Markle‐Reid 2006,SF‐36 Physical Health Component Summary score IG mean 49.1 points (SD 24.6) CG mean 46.7 points (SD 23.4) MD −1.88 points (95% CI −7.02 to 3.25) SF‐36 Mental Health Component Summary score IG mean 65.1 points (SD 22.4) CG mean 65.2 points (SD 22.1) MD −6.32 points (95% CI −11.04 to −1.59),Number of participants at baseline: intervention group (IG): 144; control group (CG): 44. Instrument: Medical Outcomes Study 36‐item Short‐Form Health Survey (SF‐36). Follow‐up: 6 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for quality of life,5,Markle‐Reid,,,
Melis 2008,Cantril's Ladder: Authors reported intervention effect difference (D)'s change from baseline at 3 months: 0.39 (95% CI −0.26 to 1.03),Number of participants at baseline: intervention group: 88; control group: 67. Instrument: Cantril's Ladder. Follow‐up: 3 months. CI: confidence interval.,,,Case management compared with usual care for quality of life,5,Melis,,,
Parsons 2012,"Thermometer scale Treatment effect mean: −1.162 (95% CI −3.52 to 1.20) Cognitive performance scale Treatment effect mean: −0.023 (95% CI −0.17 to 0.12) Depression rating scale Treatment effect mean: 0.181 (95% CI −0.07 to 0.43) Changes in health, end‐stage disease and symptoms and signs Treatment effect mean: 0.004 (95% CI −0.10 to 0.11) Pain scale Treatment effect mean: 0.009 (95% CI −0.12 to 0.14)","Number of participants at baseline: intervention group: 169; control group: 182. Instrument: EuroQol (measured as secondary outcome, exact definition not specified, although table 2 indicates that EuroQol was measured as a function of thermometer scale; cognitive performance scale; depression rating scale; changes in health, end‐stage disease and symptoms and signs; and pain scale). Follow‐up: 24 months. CI: confidence interval.",,,Case management compared with usual care for quality of life,5,Parsons,,,
Sandberg 2015,EQ‐5D IG: mean 0.61 points (SD 0.25) CG: mean 0.60 points (SD 0.23) MD 0.01 points (95% CI −0.07 to 0.09) EQ‐5D‐VAS IG: mean 0.61 points (SD 0.17) CG: mean 0.63 points (SD 0.12) MD 0.02 points (95% CI −0.03 to 0.07),Number of participants at baseline: intervention group (IG): 80; control group (CG): 73. Instrument: EuroQol Five‐Dimension Questionnaire (EQ‐5D) and EQ‐5D Visual Analogue Scale (EQ‐5D‐VAS); scores were normalised (divided by 100). Follow‐up: 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for quality of life,5,Sandberg,,,
Spoorenberg 2018,EQ‐5D – change from baseline Frail group: IG: mean −0.02 points (SD 0.11) CG: mean 0.0 points (SD 0.12) MD 0.02 points (95% CI −0.01 to 0.05) Complex care needs group: IG: mean −0.02 points (SD 0.17) CG: mean −0.01 points (SD 0.16) MD 0.08 points (95% CI 0.04 to 0.12) EQ‐5D‐VAS Frail group: IG: mean −1.6 points (SD 16.2) CG: mean −2.9 points (SD 12.4) MD 1.3 points (95% CI −2.96 to 5.56) Complex care needs group: IG: mean −0.5 points (SD 16.1) CG: mean 2.0 points (SD 19.9) MD 2.5 points (95% CI −2.06 to 7.06),Number of participants at baseline: stratified into 3 strata: robust (854 participants; excluded from analysis due to not frail population); frail (237 participants); and complex care needs (365 participants). Instrument: EuroQol Five‐Dimension Questionnaire (EQ‐5D) and EQ‐5D Visual Analogue Scale (EQ‐5D‐VAS); scores were normalised (divided by 100). Follow‐up: 12 months. CG: control group; CI: confidence interval; IG: intervention group; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for quality of life,5,Spoorenberg,,,
Suijker 2016,"HRQOL (based on life values) 12 months: IG: mean 0.74 points (95% CI 0.73 to 0.75) CG: mean 0.74 points (95% CI 0.72 to 0.75) EQ‐5D 6 months: IG: mean 0.76 points (95% CI 0.75 to 0.77) CG: mean 0.75 points (95% CI 0.73 to 0.76) 12 months: IG: mean 0.74 points (95% CI 0.72 to 0.75) CG: mean 0.72 points (95% CI 0.69 to 0.72) 18 months: IG: mean 0.75 points (95% CI 0.72 to 0.76) CG: mean 0.71 points (95% CI 0.69 to 0.73) 24 months: IG: mean 0.74 points (95% CI 0.72 to 0.75) CG: mean 0.72 points (95% CI 0.69 to 0.72) EQ5D (estimated mean scores adjusted for baseline outcome) 6 months: IG: mean 0.76 points (95% CI 0.75 to 0.77) CG: mean 0.76 points (95% CI 0.75 to 0.77) 12 months: IG: mean 0.74 points (95% CI 0.73 to 0.75) CG: mean 0.74 points (95% CI 0.69 to 0.72) 18 months: IG: mean 0.74 points (95% CI 0.73 to 0.75) CG: mean 0.72 points (95% CI 0.71 to 0.74) 24 months: IG: mean 0.73 points (95% CI 0.72 to 0.74) CG: mean 0.72 points (95% CI 0.71,0.73) EQ‐5D (estimated mean scores adjusted for baseline age, sex, socio‐economic status, level of education, and modified Katz‐ADL index score) 6 months: IG: mean 0.76 points (95% CI 0.75 to 0.77) CG: mean 0.76 points (95% CI 0.75 to 0.77) 12 months: IG: mean 0.74 points (95% CI 0.73 to 0.75) CG: mean 0.74 points (95% CI 0.72 to 0.75) 18 months: IG: mean 0.74 points (95% CI 0.73 to 0.75) CG: mean 0.72 points (95% CI 0.71 to 0.74) 24 months IG: mean 0.73 points (95% CI 0.72 to 0.74) CG: mean 0.72 points (95% CI 0.71 to 0.73) Self‐perceived QOL 6 months: IG: mean 7.12 points (95% CI 7.05 to 7.19) CG: mean 7.17 points (95% CI 7.09 to 7.24) 12 months: IG: mean 7.01 points (95% CI 6.93 to 7.10) CG: mean 7.02 points (95% CI 6.94 to 7.11) 18 months: IG: mean 6.98 points (95% CI 6.91 to 7.06) CG: mean 6.97 points (95% CI 6.89 to 7.05) 24 months: IG: mean 6.98 points (95% CI 6.91 to 7.06) CG: mean 6.92 points (95% CI 6.83 to 7.01) Self‐perceived QOL (estimated mean scores adjusted for baseline outcome) 6 months: IG: mean 7.14 points (95% CI 7.08 to 7.20) CG: mean 7.21 points (95% CI 7.16 to 7.27) 12 months: IG: mean 7.04 points (95% CI 6.97 to 7.11) CG: mean 7.07 points (95% CI 6.99 to 7.15) 18 months: IG: mean 7.01 points (95% CI 6.94 to 7.07) CG: mean 7.02 points (95% CI 6.95 to 7.10) 24 months: IG: mean 7.01 points (95% CI 6.95 to 7.07) CG: mean 6.98 points (95% CI 6.90 to 7.06) Self‐perceived QOL (estimated mean scores adjusted for baseline age, sex, socio‐economic status, level of education, and modified Katz‐ADL index score) 6 months: IG: mean 7.15 points (95% CI 7.09 to 7.21) CG: mean 7.21 points (95% CI 7.15 to 7.27) 12 months: IG: mean 7.05 points (95% CI 7.09 to 7.21) CG: mean 7.21 points (95% CI 7.15 to 7.27) 18 months: IG: mean 7.01 points (95% CI 6.95 to 7.08) CG: mean 7.03 points (95% CI 6.96 to 7.10) 24 months: IG: mean 7.02 points (95% CI 6.96 to 7.08) CG: mean 6.98 points (95% CI 6.90 to 7.06)","Number of participants at baseline: intervention group (IG): 1209; control group (CG): 1074. Instrument: EuroQol Five‐Dimension Questionnaire (EQ‐5D; possible health states were converted in a utility score, using a Dutch general population validation study); self‐perceived quality of life (QOL) assessed using a Cantril's Ladder, where respondents rated their present quality of life on a scale of 0–10. Follow‐up: 6, 12, 18, and 24 months. ADL: activities of daily living; CI: confidence interval: HRQOL: health‐related quality of life.",,,Case management compared with usual care for quality of life,5,Suijker,,,
van Hout 2010,"6 months: IG: mean 44.5 points (SD 10.5) CG: mean 45.4 points (SD 10.6) MD 0.9 points (95% CI −0.72, 2.52) 18 months: IG: mean 43.9 points (SD 11.2) CG: mean 45.2 points (SD 11.2) MD 1.3 points (95% CI −0.42, 3.02)","Number of participants at baseline: intervention group (IG): 331; control group (CG): 320. Instrument: Medical Outcomes Study 36‐item Short‐Form Health Survey (SF‐36; mental component, range 0–100). Follow‐up: 6 and 18 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for quality of life,5,van,,,
4.1 Serious adverse effects between 12 and 24 months follow‐up Show forest plot,0,,Other data,No numeric data,Case management compared with usual care for serious adverse effects,7,4,1,,Serious adverse effects between 12 and 24 months follow‐up Show forest plot
Serious adverse effects between 12 and 24 months follow‐up,Serious adverse effects between 12 and 24 months follow‐up,Serious adverse effects between 12 and 24 months follow‐up,,,Case management compared with usual care for serious adverse effects,7,Serious,,adverse effects between 12 and 24,
Study,Results,Notes,,,Case management compared with usual care for serious adverse effects,7,Study,,,
Cameron 2013,"Adverse events 2 participants reported back pain that required modification of the intervention, defined as not a major adverse event. Major adverse events attributable to the intervention None reported.",Number of participants at baseline: intervention group: 120; control group: 121. Outcome: number of individuals reporting a medical event or injury that arose as a consequence of participating in the trial. Monitored and recorded by clinicians. Follow‐up: 12 months.,,,Case management compared with usual care for serious adverse effects,7,Cameron,,,
Parsons 2012,"Adverse events There was little or no difference between groups. The trial authors reported no ""noted treatment effect evident on adverse events, including incidence of falls or number of hospitalizations"" but provided no further data.","Number of participants at baseline: intervention group: 169; control group: 182. Outcome: incidence of falls or number of hospitalisations. As reported by the trial authors, no additional data provided. Follow‐up: 24 months.",,,Case management compared with usual care for serious adverse effects,7,Parsons,,,
5.1 Change in physical function between 3 and 24 months' follow‐up Show forest plot,0,,Other data,No numeric data,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,5,1,,Change in physical function between 3 and 24 months' follow‐up Show forest plot
Change in physical function between 3 and 24 months' follow‐up,Change in physical function between 3 and 24 months' follow‐up,Change in physical function between 3 and 24 months' follow‐up,Change in physical function between 3 and 24 months' follow‐up,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Change,,in physical function between 3 and 24 m,
Study,Outcome,Results,Notes,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Study,,,
Applebaum 2002,Physical function,ADLs 6 months: IG: mean 1.23 points; CG: mean 1.35 points 12 months: IG: mean 1.15 points; CG: mean 1.26 points IADLS 6 months IG: mean 3.56 points; CG: mean 4.00 points 12 months: IG: mean 3.58 points; CG: mean 3.42 points Overall health status 6 months: IG: mean 10.5 points; CG: mean 10.3 points 12 months: IG: mean 10.3 points; CG: mean 9.2 points Health status in last month 6 months: IG: mean 11.6 points; CG: mean 11.1 points 12 months: IG: mean 11.0 points; CG: mean 12.0 points Health locus of control 6 months: IG: mean 18.2 points; CG: mean 18.7 points 12 months: IG: mean 18.8 points; CG: mean 18.4 points,Number of participants at baseline: intervention group (IG): 156; control group (CG): 152. Instrument: number of activities of daily living (ADLs) with help (range 0–6); number of instrumental activities of daily living (IADLs) with help (range 0–7); overall health status (range 0–16; lower score means better health); health status in last month (range 0–16; higher score means better health); health locus of control (range 0–26; low score means self‐controlled). Follow‐up: 6 and 12 months.,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Applebaum,,,
Bernabei 1998,Physical function,ADLs IG: AdjM 2.0 points (SD 0.99) CG: AdjM 2.6 points (SD 1.00) MD 0.6 points (95% CI 0.32 to 0.88) IADLs IG: AdjM 4.1 points (SD 0.99) CG: AdjM 4.4 points (SD 1.00) MD 0.3 points (95% CI 0.02 to 0.58),"Number of participants at baseline: intervention group (IG): 99; control group (CG): 100. Instrument: activities of daily living (ADLs; 6‐item scale, ranging from 0–6) and instrumental activities of daily living (IADLs, 7‐item scale, ranging from 0–7). Scales not described, higher scores indicate greater disability. Follow‐up: 12 months. AdjM: mean adjusted for baseline measures; CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Bernabei,,,
Bleijenberg 2016,Physical function,"6 months: IG2: mean 1.7 points (95% CI, 1.59, 1.80) CG: mean 1.75 points (95% CI, 1.67, 1.82) 12 months: IG2: mean 1.88 points (95% CI 1.80, 1.96) CG: mean 2.03 points (95% CI 1.93, 2.13)","Number of participants at baseline: intervention group 1 (not analysed in this review): 790; intervention group 2 (IG2): 1446; control group (CG): 856. Instrument: ""modified Katz‐15 index of activities of daily living (ADLs) and instrumental activities of daily living (IADLs) (range 0–15)"". Adjusted for practice and participant baseline characteristics. Follow‐up: 6 and 12 months. CI: confidence interval.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Bleijenberg,,,
Cameron 2013,Physical function,Mobility (SPPB) 3 months: IG: mean 5.4 points (SD 2.32) CG: mean 5.72 points (SD 2.3) MD 0.32 points (95% CI −0.29 to 0.93) 12 months: IG: mean 5.83 points (SD 2.82) CG: mean 4.69 points (SD 2.91) MD 1.14 points (95% CI 0.37 to 1.91) ADLs 3 months: IG: mean 94.2 points (SD 11.2) CG: mean 93.2 points (SD 13.9) MD 1.0 points (95% CI −2.32 to 4.32) 12 months IG: mean 89.50 points (SD 17.5) CG: mean 86.1 points (SD 24.7) MD 3.40 points (95% CI −2.35 to 9.15),"Number of participants at baseline: intervention group (IG): 120; control group (CG): 121. Instrument: Short Physical Performance Battery (SPPB; gait speed, chair stand, and balance tests; scores range from 0 to 12, higher scores represent more mobility); activities of daily living (ADLs) measured with Barthel Index (10‐item scores, range 0 to 100, higher scores indicate lower disability). Follow‐up: 3 and 12 months. CI: confidence interval; MD: mean difference.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Cameron,,,
Eklund 2013,Physical function,ADLs – improved 3 months: IG: 42%; CG: 24% OR 2.37 (95% CI 1.20 to 4.68) 6 months: IG: 36%; CG: 28% OR 1.50 (95% CI 0.77 to 2.94) 12 months: IG: 39%; CG: 24% OR 2.04 (95% CI 1.03 to 4.06) ADLs – maintained 3 months: IG: 38%; CG: 43% OR 0.79 (95% CI 0.42 to 1.48) 6 months: IG: 32%; CG: 26% OR 1.30 (95% CI 0.66 to 2.59) 12 months: IG: 24%; CG 29% OR 0.76 (95% CI 0.37 to 1.53) ADLs – decreased 3 months: IG: 20%; CG: 33% OR 0.51 (95% CI 0.25 to 1.04) 6 months: IG: 31%; CG: 46% OR 0.52 (95% CI 0.27 to 0.98) 12 months: IG: 38%; CG: 47% OR 0.67 (95% CI 0.36 to 1.26) Self‐rated health (secondary outcome) Change from 6 to 12 months: Relative rank variance: IG: 0.15 (95% CI 0.06 to 0.24); CG: 0.14 (95% CI 0.04 to 0.24) Sum of symptoms (secondary outcome) Change from 6 to 12 months: Relative rank variance: IG: 0.20 (95% CI 0.10 to 0.31); CG: 0.16 (95% CI 0.04 to 0.27),"Number of participants at baseline: intervention group (IG): 89; control group (CG): 92. Instrument: activities of daily living (ADLs; number of activities managed independently, from 0–9); self‐rated health (""derived from one statement on the Short‐Form Health Survey (SF‐36): ‘In general, you would say your health is. . .’ followed by responses on a five‐point Likert‐type scale: excellent, very good, good, fair or poor.""); sum of symptoms (""Symptoms during the previous three months were assessed by one part of the Goteborg quality of life instrument, with yes or no responses. A summary score of 1–30 symptoms was computed for each participant and scores were transformed into a six‐grade scale with an interval of five symptoms in each grade""). Follow‐up: 3, 6, and 12 months. CI: confidence interval; OR: odds ratio.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Eklund,,,
Gagnon 1999,Physical function,ADLs IG: mean 13.6 points (SD 1.90) CG: mean 13.4 points (SD 2.00) MD 0.2 points (95% CI −0.2 to 0.6) IADLs IG: mean 10.5 points (SD 3.00) CG: mean 10.3 points (SD 3.00) MD 0.2 points (95% CI −0.5 to 0.9),"Number of participants at baseline: intervention group (IG): 212; control group (CG): 215. Instrument: Older American Resources and Services Multidimensional Functional Assessment Questionnaire (OARS; scores range from 0–15 for activities of daily living (ADLs) and from 0–14 for instrumental activities of daily living (IADLs), higher scores indicate lower disability). Follow‐up: 10 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Gagnon,,,
