Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.11.2 Ulcerative colitis,1,47,"Risk Ratio (M‐H, Random, 95% CI)","0.88 [0.55, 1.41]",Web‐based disease monitoring versus usual care,1,0.88,0.55,1.41,1,11,,Ulcerative colitis
2.1 Flare‐ups/relapse (dichotomous; adults) Show forest plot,1,42,"Risk Ratio (M‐H, Random, 95% CI)","1.17 [0.47, 2.89]",Telephone‐based disease monitoring versus face‐to‐face monitoring,2,1.17,0.47,2.89,2,1,,Flare‐ups/relapse (dichotomous; adults) Show forest plot
2.2 Flare‐ups/relapse (dichotomous; children) Show forest plot,1,86,"Risk Ratio (M‐H, Random, 95% CI)","0.24 [0.03, 2.05]",Telephone‐based disease monitoring versus face‐to‐face monitoring,2,0.24,0.03,2.05,2,2,,Flare‐ups/relapse (dichotomous; children) Show forest plot
2.3 Quality of life (children) Show forest plot,1,67,"Mean Difference (IV, Random, 95% CI)","7.00 [‐0.29, 14.29]",Telephone‐based disease monitoring versus face‐to‐face monitoring,2,7.0,-0.29,14.29,2,3,,Quality of life (children) Show forest plot
2.4 Number of episodes accessing healthcare (one or more hospital admissions; children) Show forest plot,1,86,"Risk Ratio (M‐H, Random, 95% CI)","0.95 [0.06, 14.77]",Telephone‐based disease monitoring versus face‐to‐face monitoring,2,0.95,0.06,14.77,2,4,,Number of episodes accessing healthcare (one or more hospital admissions; children) Show forest plot
2.5 Medication adherence (adults) Show forest plot,1,42,"Risk Ratio (M‐H, Random, 95% CI)","0.50 [0.25, 0.98]",Telephone‐based disease monitoring versus face‐to‐face monitoring,2,0.5,0.25,0.98,2,5,,Medication adherence (adults) Show forest plot
2.6 Participant engagement (adults) Show forest plot,1,42,"Risk Ratio (M‐H, Random, 95% CI)","1.05 [0.89, 1.25]",Telephone‐based disease monitoring versus face‐to‐face monitoring,2,1.05,0.89,1.25,2,6,,Participant engagement (adults) Show forest plot
2.7 Rate of attendance/engagement with the intervention (scheduled consultations not cancelled; children) Show forest plot,1,76,"Mean Difference (IV, Random, 95% CI)","‐0.50 [‐1.38, 0.38]",Telephone‐based disease monitoring versus face‐to‐face monitoring,2,-0.5,-1.38,0.38,2,7,,Rate of attendance/engagement with the intervention (scheduled consultations not cancelled; children) Show forest plot
2.8 Rate of attendance/engagement with the intervention (missed consultations; children) Show forest plot,1,76,"Mean Difference (IV, Random, 95% CI)","1.00 [0.48, 1.52]",Telephone‐based disease monitoring versus face‐to‐face monitoring,2,1.0,0.48,1.52,2,8,,Rate of attendance/engagement with the intervention (missed consultations; children) Show forest plot
2.9 Rate of attendance of interactions with health professionals (children) Show forest plot,1,86,"Risk Ratio (M‐H, Random, 95% CI)","0.86 [0.74, 1.00]",Telephone‐based disease monitoring versus face‐to‐face monitoring,2,0.86,0.74,1.0,2,9,,Rate of attendance of interactions with health professionals (children) Show forest plot
